编号,名字,分组ID,类型,出现物品,出现概率,绿色几率,蓝色几率,金色几率,暗金几率,天蓝几率,翡翠绿几率,白金几率
160,09春节大红包(越南),58,2,100000;200000;350000,50;24;10,,,,,,,
161,新年小礼包(越南),59,1,4295;3985;1035;383;3878,50;32;15;2;1,,,,,,,
162,新年礼包(越南),60,1,4296;3986;3462;4125;1172;4052;3877,45;30;10;10;2;2;1,,,,,,,
163,星环宝袋,61,1,4270;4271;4272;4273,25;25;25;25,,,,,,,
164,情人节玫瑰,62,1,3498;3501;4321;3969,30;30;30;10,,,,,,,
165,情人节巧克力,63,1,4324;4325;4322;4323,30;30;30;10,,,,,,,
166,神奇红线包(越南),64,1,4347;4348;4349,34;33;33,,,,,,,
167,翻斗乐扭蛋,65,1,4354;4355;4356;4357;4358;4359;4360;4426;,13;12;13;12;13;12;13;12,,,,,,,
168,沁心丸,66,3,10000;15000;20000;25000;30000,30;25;20;15;10,,,,,,,
169,醒神丸,67,4,5000;8000;10000;12000;15000,30;25;20;15;10,,,,,,,
170,宠物精灵袋,68,1,3991;3992;3486;3488;3487;3489;531;533,13;13;13;13;12;12;12;12,,,,,,,
171,神秘箱子,69,1,4501;4502;4503;3969;3970;3971,24;20;10;30;10;6,,,,,,,
172,天尊情深意粽,70,3,5000;6666;8888,10;10;10,,,,,,,
173,天尊情深意粽,70,4,5000;6666;8888,10;10;10,,,,,,,
174,天尊情深意粽,70,1,4518;4519;4520;4521,10;10;10;10,,,,,,,
175,屈原情深意粽,71,3,5500;8888;9999,10;10;10,,,,,,,
176,屈原情深意粽,71,4,5500;8888;9999,10;10;10,,,,,,,
177,屈原情深意粽,71,1,4518;4519;4520;4521;4522,10;10;10;9;1,,,,,,,
178,端午极致雄黄酒（台湾）,72,1,4526;4527;4528;4529;4523;4530;4048;4047;3505,50;15;10;10;10;2;1;1;1,,,,,,,
179,端午极致雄黄酒（大马）,73,1,4531;4530;4532;4528;4527;4533;4048;4047;3505;4168,45;20;10;10;9;2;1;1;1;1,,,,,,,
180,端午香包（台湾）,74,1,404;401;1160;3462;1017;1172;3861;3863;3864;4196;4197;4545,35;20;15;10;9;5;1;1;1;1;1;1,,,,,,,
181,端午宝袋（台湾）,75,1,4190;4546,50;50,,,,,,,
182,端午节变身棒（台湾）,76,1,4551;4552;4553,34;33;33,,,,,,,
