number,string,,number,string,number,number,number,number,number,number,number,string,cmd,cmd,cmd,cmd,cmd,cmd,number,number;num,number;num,number;num,number;num,number;num,number;num,number;num,number;num,string,number,number,number;num,number;num,,cmd,,cmd,cmd,,,,
560,下山,11,5,0,1,0,,,1,5,99,all,"CheckTaskFinished(559)
GetTaskItemSpace >= 1",AddItem(206),GetItemSpace >= 3,,"RemoveItem(206,1)","RemoveItem(206,1)",0,0,0,206,1,0,0,0,0,,0,,0,99,14 ,AddExp(1120);AddNimbus(560);AddMoney(336),"AddItemEx(3846,0,0,1)",,,"em;AddItemEx(4,0,152,1)
em;AddItemEx(14,0,152,1)
fm;AddItemEx(24,0,152,1)
fm;AddItemEx(34,0,152,1)
bh;AddItemEx(44,0,152,1)
bh;AddItemEx(54,0,152,1)
qc;AddItemEx(550,0,152,1)
qc;AddItemEx(560,0,152,1)
xq;AddItemEx(628,0,152,1)
xq;AddItemEx(638,0,152,1)",0,,
561,捕捉血精灵,11,3,0,1,0,,,1,3,99,xq,GetItemSpace >= 1,AddItem(428),GetItemSpace >= 1,,"RemoveItem(428,1)","RemoveItem(428,1)",0,0,0,0,0,0,0,0,0,3,3118,1,0,99,8 ,AddExp(560);AddNimbus(280);AddMoney(168),"AddItem (801,1)",,,,0,,
60,探听虚实,18,6,0,1,0,,,1,5,99,all,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,4 ,AddExp(340);AddNimbus(170);AddMoney(108),,,,,1,,
63,通缉流寇头领,18,6,1,1,0,,,1,5,99,all,CheckTaskFinished(62),,,,,,0,339,1,407,1,339,407,1,1,,0,,0,99,7 ,AddExp(595);AddNimbus(298);AddMoney(189),,,,,1,,
67,追捕马贼头子,18,8,1,1,0,,,1,7,99,all,CheckTaskFinished(66),,,,,,0,341,1,408,1,341,408,1,1,,0,,0,99,16 ,AddExp(1520);AddNimbus(760);AddMoney(480),,,,,1,,
70,育成碑文,18,8,0,1,0,,,1,7,99,all,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,4 ,AddExp(380);AddNimbus(190);AddMoney(120),,,,,1,,
72,无眉密函,18,9,0,1,0,,,1,8,99,all,CheckTaskFinished(71),,,,,,0,70,14,410,1,70,410,0.5,1,,0,,0,99,14 ,AddExp(1400);AddNimbus(700);AddMoney(420),,,,,1,,
76,误入歧途,18,10,1,1,0,,,1,9,99,all,CheckTaskFinished(75),,GetItemSpace >= 1,,,,0,72;347,1;6,0,0,0,0,0,0,,0,,0,99,16 ,AddExp(1680);AddNimbus(840);AddMoney(528),,,,,1,,
6,致命的箭,13,9,0,1,0,,,1,7,99,all,"CheckTaskFinished(26)
GetTaskItemSpace >= 1",,,,,,0,0,0,220,8,7,220,0.5,8,,0,,0,99,18 ,AddExp(1800);AddNimbus(900);AddMoney(540),,,,,0,,
11,袒护的山狼,13,5,0,1,0,,,1,4,99,all,,,GetItemSpace >= 1,,,,0,2,10,0,0,0,0,0,0,,0,,0,99,12 ,AddExp(960);AddNimbus(480);AddMoney(288),,,,"em;AddItemEx(94,0,1,1)
fm;AddItemEx(121,0,1,1)
qc;AddItemEx(592,0,1,1)
bh;AddItemEx(148,0,1,1)
xq;AddItemEx(670,0,1,1)",0,,
25,村民的口粮,13,5,0,1,0,,,1,4,99,all,GetTaskItemSpace >= 2,,GetItemSpace >= 1,,"RemoveItem(350,3)
RemoveItem(352,3)","RemoveItem(350,3)
RemoveItem(352,3)",0,0,0,350;352,3;3,216;217,350;352,0.5;0.5,3;3,,0,,0,99,15 ,AddExp(1200);AddNimbus(600);AddMoney(360),,,,"em;AddItemEx(285,0,1,1)
fm;AddItemEx(294,0,1,1)
qc;AddItemEx(610,0,1,1)
bh;AddItemEx(303,0,1,1)
xq;AddItemEx(688,0,1,1)",0,,
27,伤药,13,7,0,1,0,,,1,6,99,all,GetTaskItemSpace >= 1,,GetItemSpace >= 1,,,,0,0,0,204,5,218,204,0.5,5,,0,,0,99,13 ,AddExp(1170);AddNimbus(585);AddMoney(351),"AddItemEx(248,0,102,1)",,,,0,,
28,瘟疫的散播,13,6,0,1,0,,,1,5,99,all,,,,,,,0,220,8,0,0,0,0,0,0,,0,,0,99,11 ,AddExp(935);AddNimbus(468);AddMoney(297),,,,,0,,
29,游荡的幽灵,13,7,0,1,0,,,1,6,99,all,CheckTaskFinished(28),,GetItemSpace >= 2,,,,0,226,8,0,0,0,0,0,0,,0,,0,99,11 ,AddExp(990);AddNimbus(495);AddMoney(297),,,,"em;AddItemEx(5,0,152,1)
em;AddItemEx(15,0,152,1)
fm;AddItemEx(25,0,152,1)
fm;AddItemEx(35,0,152,1)
bh;AddItemEx(45,0,152,1)
bh;AddItemEx(55,0,152,1)
qc;AddItemEx(551,0,152,1)
qc;AddItemEx(561,0,152,1)
xq;AddItemEx(629,0,152,1)
xq;AddItemEx(639,0,152,1)",0,,
32,草原豺狼,13,8,0,1,0,,,1,6,99,all,,,,,,,0,227,12,0,0,0,0,0,0,,0,,0,99,16 ,AddExp(1520);AddNimbus(760);AddMoney(480),,,,,0,,
34,飞蛇的阻隘,13,9,0,1,0,,,1,7,99,all,,,,,,,0,228,12,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(1500);AddNimbus(750);AddMoney(450),,,,,0,,
37,寻找受伤熊猫人,14,10,0,1,0,,,1,10,99,all,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,7 ,AddExp(735);AddNimbus(368);AddMoney(231),,,,,0,,
103,传书尼庵,14,12,0,1,0,,,1,10,99,all,GetTaskItemSpace >= 1,AddItem(206),,,"RemoveItem(206,1)","RemoveItem(206,1)",0,0,0,206,1,41,206,1,1,,0,,0,99,6 ,AddExp(690);AddNimbus(345);AddMoney(216),,,,,0,,
806,望江亭之约,15,23,0,1,0,,,1,20,99,all,CheckTaskFinished(805),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,20 ,AddExp(3400);AddNimbus(1700);AddMoney(1020),,,,,0,,
119,"
鬼道伏诛",14,18,1,1,0,,,1,15,99,all,CheckTaskFinished(117),,,,,,0,25,1,0,0,0,0,0,0,,0,,0,99,36 ,AddExp(5220);AddNimbus(2610);AddMoney(1620),,,,,0,,
123,寻找医师,14,14,0,1,0,,,1,13,99,all,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,6 ,AddExp(750);AddNimbus(375);AddMoney(234),,,,,0,,
157,寻访隐士,15,23,0,1,0,,,1,20,99,all,GetTaskItemSpace >= 1,AddItem(206),,,"RemoveItem(206,1)","RemoveItem(206,1)",0,0,0,206,1,0,0,0,0,,0,,0,99,5,AddExp(850);AddNimbus(425);AddMoney(255),,,,,0,,
160,穿云弩再出江湖,15,23,0,1,0,,,1,21,99,all,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,10,AddExp(1700);AddNimbus(850);AddMoney(510),"AddItemEx(344,0,0,1)
AddItemEx(404,0,0,1)",,,,0,,
164,形迹可疑的大汉,15,24,1,1,0,,,1,22,99,all,CheckTaskFinished(163),,GetItemSpace >= 1,,,,0,242,1,0,0,0,0,0,0,,0,,0,99,20,AddExp(3500);AddNimbus(1750);AddMoney(1080),,,,"em;AddItemEx(287,0,1,1)
fm;AddItemEx(296,0,1,1)
bh;AddItemEx(305,0,1,1)
qc;AddItemEx(612,0,1,1)
xq;AddItemEx(690,0,1,1)",0,,
188,探听消息,15,24,0,1,0,,,1,23,99,all,CheckTaskFinished(159),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,10,AddExp(1750);AddNimbus(875);AddMoney(540),,,,,0,,
190,出手相助,16,25,0,1,0,,,1,25,99,all,CheckTaskFinished(165),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,10,AddExp(1800);AddNimbus(900);AddMoney(540),,,,,0,,
191,速去速回,15,24,0,1,0,,,1,23,99,all,"CheckTaskFinished(161)
GetTaskItemSpace >= 1",AddItem(214),,,"RemoveItem(214,1)","RemoveItem(214,1)",0,0,0,0,0,0,0,0,0,,0,,0,99,10,AddExp(1750);AddNimbus(875);AddMoney(540),,,,,0,,
168,慈云来敌,16,26,1,1,0,,,1,24,99,all,,,,,,,0,56,1,0,0,0,0,0,0,,0,,0,99,20,AddExp(3700);AddNimbus(1850);AddMoney(1140),,,,,0,,
169,破金蚕,16,26,1,1,0,,,1,23,99,all,,,,,,,0,37,1,0,0,0,0,0,0,,0,,0,99,20,AddExp(3700);AddNimbus(1850);AddMoney(1140),,,,,0,,
808,慈云寺阴谋,16,24,1,1,0,,,1,20,99,all,CheckTaskFinished(807),,GetItemSpace >= 3,,,,0,69;123,1;1,0,0,0,0,0,0,,0,,0,99,50 ,AddExp(8750);AddNimbus(4375);AddMoney(2700),"AddItemEx(3969,0,0,1)
AddItemEx(3969,0,0,1)
AddItemEx(3969,0,0,1)",,,,0,,
170,灭绿袍,16,26,1,1,0,,,1,23,99,all,CheckTaskFinished(169),,GetItemSpace >= 1,,,,0,90,1,0,0,0,0,0,0,,0,,0,99,20,AddExp(3700);AddNimbus(1850);AddMoney(1140),,,,"em;AddItemEx(314,0,1,1)
fm;AddItemEx(323,0,1,1)
bh;AddItemEx(332,0,1,1)
qc;AddItemEx(621,0,1,1)
xq;AddItemEx(699,0,1,1)",0,,
173,凶残的看守(副本),21,26,11,1,0,,,1,22,99,all,,,,,,,0,260,1,0,0,0,0,0,0,,0,,0,99,30,AddExp(5550);AddNimbus(2775);AddMoney(1710),"AddItemEx(3970,0,0,1)",,,,0,,
176,火烧慈云寺,16,27,0,1,0,,,1,25,99,all,,,,,,,0,0,0,379,15,244,379,0.5,15,,0,,0,99,30,AddExp(5700);AddNimbus(2850);AddMoney(1710),,,,,0,,
184,慈云先锋,16,30,1,1,0,,,1,27,99,all,,,,,,,0,35,1,0,0,0,0,0,0,,0,,0,99,20,AddExp(4100);AddNimbus(2050);AddMoney(1260),,,,,0,,
185,辟邪村大战,16,30,1,1,0,,,1,27,99,all,,,,,,,0,38,1,0,0,0,0,0,0,,0,,0,99,30,AddExp(6150);AddNimbus(3075);AddMoney(1890),,,,,0,,
187,慈云寺内应,16,27,0,1,0,,,1,25,99,all,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,10,AddExp(1900);AddNimbus(950);AddMoney(570),,,,,0,,
189,飞鸽传书,16,25,0,1,0,,,1,24,99,all,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,10,AddExp(1800);AddNimbus(900);AddMoney(540),,,,,0,,
83,小妖道何兴,24,14,1,1,0,,,1,12,99,all,CheckTaskFinished(82),,GetItemSpace >= 1,,,,0,78;93,2;1,0,0,0,0,0,0,,0,,0,99,20 ,AddExp(2500);AddNimbus(1250);AddMoney(780),,,,"em;AddItemEx(259,0,1,1)
fm;AddItemEx(268,0,1,1)
bh;AddItemEx(277,0,1,1)
qc;AddItemEx(602,0,1,1)
xq;AddItemEx(680,0,1,1)",0,,
85,山穴群狼,24,15,0,1,0,,,1,13,99,all,,,,,,,0,350,12,0,0,0,0,0,0,,0,,0,99,26 ,AddExp(3380);AddNimbus(1690);AddMoney(1014),,,,,0,,
47,童年旧友,24,20,0,1,0,,,1,18,99,all,GetTaskItemSpace >= 1,AddItem(206),,,"RemoveItem(206,1)","RemoveItem(206,1)",0,0,0,206,1,0,0,0,0,,0,,0,99,14 ,AddExp(2170);AddNimbus(1085);AddMoney(672),,,,,0,,
77,荆棘岭火种,17,11,0,1,0,,,1,9,99,all,,,,,,,0,0,0,411,20,349,411,1,20,,0,,0,99,20 ,AddExp(2200);AddNimbus(1100);AddMoney(660),,,,,0,,
59,保护村庄,18,5,0,1,0,,,1,4,99,all,,,GetItemSpace >= 1,,,,0,61,10,0,0,0,0,0,0,,0,,0,99,10 ,AddExp(800);AddNimbus(400);AddMoney(240),,,,,1,,
92,野骡王,24,18,1,1,0,,,1,16,99,all,CheckTaskFinished(82),,GetItemSpace >= 1,,,,0,86;354,2;1,0,0,0,0,0,0,,0,,0,99,20 ,AddExp(2900);AddNimbus(1450);AddMoney(900),,,,"em;AddItemEx(95,0,1,1)
fm;AddItemEx(122,0,1,1)
bh;AddItemEx(149,0,1,1)
qc;AddItemEx(593,0,1,1)
xq;AddItemEx(671,0,1,1)",0,,
556,剿灭血精灵,11,4,0,1,0,,,1,4,99,all,,,,,,,0,3118,12,0,0,0,0,0,0,,0,,0,99,14 ,AddExp(1050);AddNimbus(525);AddMoney(336),,,,,0,,
61,偷袭贼兵,18,6,0,1,0,,,1,5,99,all,CheckTaskFinished(60),,,,,,0,62,12,0,0,0,0,0,0,,0,,0,99,12 ,AddExp(1020);AddNimbus(510);AddMoney(324),,,,,1,,
62,马贼战马,18,6,0,1,0,,,1,5,99,all,,,,,,,0,336,12,0,0,0,0,0,0,,0,,0,99,12 ,AddExp(1020);AddNimbus(510);AddMoney(324),,,,,1,,
64,追捕能手,18,7,0,1,0,,,1,6,99,all,CheckTaskFinished(62),,,,,,0,340,12,0,0,0,0,0,0,,0,,0,99,12 ,AddExp(1080);AddNimbus(540);AddMoney(324),,,,,1,,
65,大漠马贼,18,7,0,1,0,,,1,6,99,all,CheckTaskFinished(64),,,,,,0,60,12,0,0,0,0,0,0,,0,,0,99,12 ,AddExp(1080);AddNimbus(540);AddMoney(324),,,,,1,,
66,马贼精兵,18,7,0,1,0,,,1,6,99,all,CheckTaskFinished(65),,GetItemSpace >= 1,,,,0,63,12,0,0,0,0,0,0,,0,,0,99,12 ,AddExp(1080);AddNimbus(540);AddMoney(324),,,,,1,,
68,残兵败将,18,8,0,1,0,,,1,7,99,all,CheckTaskFinished(67),,,,,,0,63,14,0,0,0,0,0,0,,0,,0,99,14 ,AddExp(1330);AddNimbus(665);AddMoney(420),,,,,1,,
69,无眉密使,18,8,0,1,0,,,1,7,99,all,,,GetItemSpace >= 1,,,,0,0,0,409,8,342,409,0.5,8,,0,,0,99,16 ,AddExp(1520);AddNimbus(760);AddMoney(480),,"AddItemEx(238,0,52,1)
AddItemEx(238,0,51,1)",,,1,,
71,无眉党羽,18,9,0,1,0,,,1,8,99,all,CheckTaskFinished(70),,,,,,0,345,14,0,0,0,0,0,0,,0,,0,99,14 ,AddExp(1400);AddNimbus(700);AddMoney(420),,,,,1,,
73,废墟怨灵,18,9,0,1,0,,,1,8,99,all,CheckTaskFinished(72),,,,,,0,346,15,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(1500);AddNimbus(750);AddMoney(450),,,,,1,,
74,徘徊的冤魂,18,10,0,1,0,,,1,9,99,all,CheckTaskFinished(73),,,,,,0,348,15,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(1575);AddNimbus(788);AddMoney(495),,,,,1,,
75,奇特的磷火,18,10,0,1,0,,,1,9,99,all,CheckTaskFinished(74),,GetItemSpace >= 1,,,,0,347,15,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(1575);AddNimbus(788);AddMoney(495),,,,,1,,
4,南方悍匪,13,9,0,1,0,,,1,7,99,all,CheckTaskFinished(33),,GetItemSpace >= 1,,,,0,125;210,7;8,0,0,0,0,0,0,,0,,0,99,18,AddExp(1800);AddNimbus(900);AddMoney(540),,,,,0,,
26,邪灵的气息,13,6,0,1,0,,,1,5,99,all,,,GetItemSpace >= 1,,,,0,219,12,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(1275);AddNimbus(638);AddMoney(405),,"AddItemEx(238,0,52,1)
AddItemEx(238,0,51,1)",,,0,,
30,村口流匪,13,7,0,1,0,,,1,6,99,all,,,,,,,0,222,14,0,0,0,0,0,0,,0,,0,99,17 ,AddExp(1530);AddNimbus(765);AddMoney(459),,,,,0,,
31,中毒,13,8,0,1,0,,,1,6,99,all,"CheckTaskFinished(27)
GetTaskItemSpace >= 1",,GetItemSpace >= 1,,,,0,0,0,219,8,5,219,0.5,8,,0,,0,99,18 ,AddExp(1710);AddNimbus(855);AddMoney(540),,,,"em;AddItemEx(65,0,202,1)
fm;AddItemEx(70,0,202,1)
qc;AddItemEx(571,0,202,1)
bh;AddItemEx(73,0,202,1)
xq;AddItemEx(649,0,202,1)",0,,
33,清剿强盗,13,8,0,1,0,,,1,6,99,all,CheckTaskFinished(30),,,,,,0,223,15,0,0,0,0,0,0,,0,,0,99,18 ,AddExp(1710);AddNimbus(855);AddMoney(540),,,,,0,,
35,最后的战斗,13,10,0,1,0,,,1,8,99,all,"CheckTaskFinished(6)
GetItemSpace >= 1",,GetItemSpace >= 1,,,,0,221,16,0,0,0,0,0,0,,0,,0,99,20 ,AddExp(2100);AddNimbus(1050);AddMoney(660),,,,,0,,
101,侠义心肠 ,14,11,0,1,0,,,1,9,99,all,GetTaskItemSpace >= 1,,,,,,0,0,0,802,15,235,802,0.5,15,,0,,0,99,36 ,AddExp(3960);AddNimbus(1980);AddMoney(1188),,,,,0,,
104,尼庵辟邪 ,14,12,0,1,0,,,1,10,99,all,GetTaskItemSpace >= 1,,,,,,0,0,0,207,15,6,207,0.5,15,,0,,0,99,36 ,AddExp(4140);AddNimbus(2070);AddMoney(1296),,,,,0,,
105,救死扶伤,14,14,0,1,0,,,1,12,99,all,GetTaskItemSpace >= 1,,GetItemSpace >= 1,,,,0,0,0,211,15,9,211,0.5,15,,0,,0,99,38 ,AddExp(4750);AddNimbus(2375);AddMoney(1482),,,,"em;AddItemEx(77,0,1,1)
fm;AddItemEx(104,0,1,1)
bh;AddItemEx(131,0,1,1)
qc;AddItemEx(575,0,1,1)
xq;AddItemEx(653,0,1,1)",0,,
106,削弱蛇怪,14,15,0,1,0,,,1,13,99,all,CheckTaskFinished(105),,GetItemSpace >= 1,,,,0,11,30,0,0,0,0,0,0,,0,,0,99,36 ,AddExp(4680);AddNimbus(2340);AddMoney(1404),,,,"em;AddItemEx(286,0,1,1)
fm;AddItemEx(295,0,1,1)
bh;AddItemEx(304,0,1,1)
qc;AddItemEx(611,0,1,1)
xq;AddItemEx(689,0,1,1)",0,,
107,蛇匪精英,14,16,0,1,0,,,1,14,99,all,CheckTaskFinished(106),,GetItemSpace >= 1,,,,0,12,30,0,0,0,0,0,0,,0,,0,99,36 ,AddExp(4860);AddNimbus(2430);AddMoney(1512),,,,"em;AddItemEx(95,0,1,1)
fm;AddItemEx(122,0,1,1)
bh;AddItemEx(149,0,1,1)
qc;AddItemEx(593,0,1,1)
xq;AddItemEx(671,0,1,1)",0,,
