程序导标记，不用翻译
ID,Prefix,Content
223,dissolute,"$N singing: my wife is not home today, I am gonna go to the night club to have some fun."
224,dissolute,$N said to $n: you are so charming.
225,dissolute,$N said: what a charming lady!
226,good bye 3,"$N said: sorry everyone, I am dead."
227,good bye 3,"$N looked $n, said: we are waiting for you."
228,good bye 3,"$N said: sorry everyone, I am dead."
229,good bye 3,"$N looked $n, said: we are waiting for you."
23,"go, go, go…",$N encourage himself. 
230,good bye 3,"$N told everyone: I am leaving now, bye bye."
231,good child,"$N is confused, I am such a good person, why no one likes me."
232,good child,"$N touched $n's head, saying: good child. "
233,good child,"$N is confused, I am such a good person, why no one likes me."
234,good child,"$N touched $n's head, saying: good child. "
235,good child,$N saying: I am gonna sing a song to your all.
236,insidious smile,$N 's face appeared insidious smile.
237,insidious smile,$N insidious smiled to $n.
238,insidious smile,$N's  face appeared insidious smile.
239,insidious smile,$N insidious smiled to $n.
24,"go, go, go…","$N shouted to $n, go go go...."
240,insidious smile,$N insidious smiled.
241,gang fight,"$N looked around, saying: I can beat you all."
242,gang fight,"$N said, let's go to kill $n."
243,gang fight,"$N looked around, saying: I can beat you all."
244,gang fight,$N said: let's go to kill $n.
245,gang fight,$N shout: let's go to kill that person!
246,handgun,"$N took out a handgun, wants to suicide."
247,handgun,"$N took out a handgun, and shoot $n down."
248,handgun,"$N took out a handgun, wants to suicide."
249,handgun,"$N took out a handgun, and shoot $n down."
25,"go, go, go…","$N shouted to everyone, everybody, go go go..."
250,handgun,$N took out a handgun.
251,handsome,$N said: I am the most handsome guy in the world.
252,handsome,"$N pointed $n's nose saying: yes, true. you are the most handsome guy in the world."
253,handsome,$N said: I am the most handsome guy in the world.
254,handsome,"$N pointed $n's nose saying: yes, true. you are the most handsome guy in the world."
255,handsome,"$N smiled: yes, all you guys are more handsome than me."
256,sinister smile,"$N sinister smiled, seems he/she is got some bad ideas."
257,sinister smile,$N sinister smiled to $n.
258,sinister smile,"$N sinister smiled, seems he/she is got some bad ideas."
259,sinister smile,$N sinister smiled to $n.
26,admire,"$N saluted to everyone, said: luckily I bring my pen today, anyone here want my signature?"
260,sinister smile,$N sinister smiled.
261,giggle,$N giggled hehehe...
262,giggle,$N giggled to $n hehehe...
263,giggle,$N giggled hehehe...
264,giggle,$N giggled to $n hehehe...
265,giggle,$N giggled hehehe...
266,hero,$N shout: dead is nothing!
267,hero,"$N shout to $n: dead is nothing, let's fight him!"
268,hero,$N shout: dead is nothing!
269,hero,"$N shout to $n, dead is nothing, let's fight him!"
27,admire,"$N saluted to $n, said: I admire you so much."
270,hero,$N shout: dead is nothing!
28,admire,"$N saluted to everyone, said: luckily I bring my pen today, anyone here want my signature?"
29,admire,"$N saluted to $n, said: I admire you so much."
3,forced smile,$N just some kind of heart broken.
30,admire,"$N saluted to everyone, said I admire you so much."
31,confess,"$N duck on the ground, said, I didn't do anything wrong."
32,confess,"$N condemned $n, what the hell you want to do?"
33,confess,"$N duck on the ground, said, I didn't do anything wrong."
34,confess,"$N condemned $n, what the hell you want to do?"
35,confess,"$N soliloquized, confess my guilt?"
36,agree,"$N ask everyone, do you agree with me?"
37,agree,"$N talk to $n: you are right, I have got the same idea with you."
38,agree,"$N ask everyone, do you agree with me?"
39,agree,"$N talk to $n: you are right, I have got the same idea with you."
4,forced smile,"$N looked at $n, almost sad to cry."
40,agree,"$N said, all of you are right, actually I am thinking of the same."
41,surprise,$N surprised: how come I didn't consider of that!
42,surprise,$N was surprised by $n.
43,surprise,$N surprised: how come I didn't consider of that.
44,surprise,$N was surprised by $n.
45,surprise,$N was surprised.
46,angry,$N is so angry.
47,angry,$N is so angry and stare at $n.
48,angry,$N is so angry .
49,angry,$N is so angry and stare at $n.
5,forced smile,$N is upset.
50,angry,$N is so angry
51,anniversary,"$N talk to everyone: hi everyone, today is my birthday."
52,anniversary,"$N shout to %n, you gonna die today."
53,anniversary,"$N talk to everyone: hi everyone, today is my birthday."
54,anniversary,"$N shout to $n, you gonna die today."
55,anniversary,"$N think it over and over, Today should be an anniversary day."
56,head,"$N shouted, why you knocked my head, I will cut your hands off."
57,head,$N knocked $n's head
58,head,"$N shouted, why you knocked my head, I will cut your hands off."
59,head,$N knocked $n's head
6,smile1,$N smiled on the face.
60,head,$N knocked his/her own head.
61,bite,$N bit his/her own finger
62,bite,$N wants to bite $n
63,bite,$N bit his/her own finger
64,bite,$N wants to bite $n
65,bite,$N grind his/her teeth
66,shy,$N is so shy
67,shy,"$N looked at $n, feels so shy."
68,shy,$N feels so shy.
69,shy,"$N looked at $n, feels so shy."
7,smile1,$N smiled to $n.
70,shy,$N's face is turning red
71,love,"$N is singing: my man, I love you."
72,love,"$N is singing: my girl , I love you."
73,love,"$N is singing: my man, I love you."
74,love,"$N is singing: my girl , I love you."
75,love,"$N hold a microphone saying, I would like to sing a song for you guys."
76,bow,$N bowed to his/her own picture 3 times.
77,bow,$N bowed to $n
78,bow,$N bowed to his/her own picture 3 times.
79,bow,$N bowed to $n
8,smile1,$N smiled on the face.
80,bow,$N bowed to everyone.
81,brag,$N feels the only opponent in the world is himself.
82,brag,"$N shouted to $n, anyone here who dare duel with me??"
83,brag,$N feels the only opponent in the world is himself.
84,brag,"$N shouted to $n, anyone here who dare duel with me??"
85,brag,"$N shouted to everyone, anyone here who dare duel with me??"
86,brother,"$N looked everyone over and over, still can't make the decision"
87,brother,"$N greeting to $n, hello brother."
88,brother,"$N looked everyone over and over, still can't make the decision"
89,brother,"$N greeting to $n, hello brother."
9,smile1,$N smiled to $n.
90,brother,$N saluted to everyone saying: hello everyone.
91,chinch,"$N found a chinch, and throw it away."
92,chinch,"$N found a chinch, and pass it to $n."
93,chinch,"$N found a chinch, and throw it away."
94,chinch,"$N found a chinch,  and pass it to $n."
95,chinch,$N hold a chinch saying: I want to report a bug.
96,good bye 1,$N saluted and saying: I gonna go now.
97,good bye 1,$N saluted to $n saying: see you next time.
98,good bye 1,$N saluted and saying: I gonna go now.
99,good bye 1,$N saluted to $n saying: see you next time.
