程序导标记，不用翻译,,
ID,Name,Desc
76,Green Elf Robe,
77,Red Fire Robe,
78,Blue Jade Robe,
79,Ice Freezing Battle Robe,
80,Fire Dragon Battle Robe,
81,Seven Stars Battle Robe,
82,Four Void Holy Robe,
83,Real Valiant Holy Robe,
84,Triple Lucidity Holy Robe,
85,Green Elf Armguard,
86,Red Fire Armguard,
87,Blue Jade Armguard,
88,Ice Freezing Armguard,
89,Fire Dragon Armguard,
90,Seven Stars Armguard,
91,Four Void Armguard,
92,Real Valiant Armguard,
93,Triple Lucidity Armguard,
94,Green Elf Boots,
95,Red Fire Boots,
96,Blue Jade Boots,
97,Ice Freezing Boots,
98,Fire Dragon Boots,
99,Seven Stars Boots,
100,Four Void Boots,
101,Real Valiant Boots,
102,Triple Lucidity Boots,
103,Grey Cloth Frock,
104,Commandment Frock,
105,Sky Drum Frock,
106,Wild Vision Battle Frock,
107,Thunder Sound Battle Frock,
108,Buddha Vigor Battle Frock,
109,All Heaven Elite Frock,
110,Arhat Elite Frock,
111,Five Principle Elite Frock,
112,Grey Cloth Armguard,
113,Commandment Armguard,
114,Sky Drum Armguard,
115,Wild Vision Armguard,
116,Thunder Sound Armguard,
117,Buddha Vigor Armguard,
118,All Heaven Armguard,
119,Arhat Armguard,
120,Five Principle Armguard,
121,Grey Cloth Boots,
122,Commandment Boots,
123,Sky Drum Boots,
124,Wild Vision Boots,
125,Thunder Sound Boots,
126,Buddha Vigor Boots,
127,All Heaven Boots,
128,Arhat Boots,
129,Five Principle Boots,
130,Rosebush Dress,
131,Redbud Dress,
132,Cherry Dress,
133,Orchid Battle Dress,
134,Lily Battle Dress,
135,Willow Battle Dress,
136,Daphne Elite Dress,
137,Vanilla Elite Dress,
138,Lotus Elite Dress,
139,Rosebush Armguard,
140,Redbud Armguard,
141,Cherry Armguard,
142,Orchid Armguard,
143,Lily Armguard,
144,Willow Armguard,
145,Daphne Armguard,
146,Vanilla Armguard,
147,Lotus Armguard,
148,Rosebush Boots,
149,Redbud Boots,
150,Cherry Boots,
151,Orchid Boots,
152,Lily Boots,
153,Willow Boots,
154,Daphne Boots,
155,Vanilla Boots,
156,Lotus Boots,
157,White Flow Sword 1,
158,White Flow Sword 2,
159,Water Gear Blade 1,
160,Water Gear Blade 2,
161,Steel Crescent Shovel 1,
162,Steel Crescent Shovel 2,
163,Demon Killing Staff 1,
164,Demon Killing Staff 2,
165,Golden Light Wheel 1,
166,Golden Light Wheel 2,
167,Myth Black Pearl 1,
168,Myth Black Pearl 2,
169,Ice Freezing Battle Robe,
170,Ice Freezing Battle Robe,
171,Ice Freezing Armguard,
172,Ice Freezing Armguard,
173,Ice Freezing Boots,
174,Ice Freezing Boots,
175,Wild Vision Battle Frock,
176,Wild Vision Battle Frock,
177,Wild Vision Armguard,
178,Wild Vision Armguard,
179,Wild Vision Boots,
180,Wild Vision Boots,
181,Orchid Battle Dress,
182,Orchid Battle Dress,
183,Orchid Armguard,
184,Orchid Armguard,
185,Orchid Boots,
186,Orchid Boots,
200,Healing Potion (lvl 1),"Function: increase 6 HP every second, lasting 15 seconds, stopped when being attacked or move."
201,Instant Healing Potion,Increase 300 HP at once.
202,Mana Potion (lvl 1),"Function: increase 6 mana every second, lasting 15 seconds, stopped when being attacked or move."
203,Instant Mana Potion,Increase 300 Mana at once.
204,Geminate Snake Serum,
205,Huge Snake Head,
206,Letter,
207,Apotropaion Letter,
208,Realgar Hard Drinks,
209,Charm Chip,
210,Remove Charm,
211,Snake Monster Body Fluid,
212,Mao Tai Keepsake,
213,Rugate Scrip,
214,Plum Blossom Crossbow,
215,Drug,
216,Smeary Flying Sword,
217,Rabbit Ears,
218,Wolf Teeth,
219,Snake Gallbladder,
220,Snake Tail,
221,Lost Things,
222,Villainies Proof,
223,Monk Zhi Tong's Badge,
224,Poison Mushroom,
225,Herb,
226,Secret Letter 1,
227,Secret Letter 2,
228,Secret Letter 3,
229,Secret Letter 4,
230,Green Robe Master Keepsake,
231,Centipede,
232,Rabbit Trap,
233,Mushroom,
234,Rabbit Meat,
235,Cat Drugs,Drugs to tempt piggy face cat.
236,Liquid Medicine Prescription,Magic Prescription Lee Ning wants you send to sky village.
237,Buddha Bead Chip,
238,Bamboo Ring,
239,Tung Ring,
240,Brass Ring,
241,Iron Ring,
242,Silver Ring,
243,Gold Ring,
244,Ice Ring,
245,Fire Ring,
246,Thousands Clouds Ring,
247,Myriad Edges Ring,
248,Fragrant Amulet,
249,Butterfly Amulet,
250,Fog Amulet,
251,Withy Amulet,
252,Dream Amulet,
253,Soul Amulet,
254,Wind Amulet,
255,Cloud Amulet,
256,Dark Spirit Amulet,
257,Brilliant Wave Amulet,
258,Green Elf Cuff,
259,Red Fire Cuff,
260,Blue Jade Cuff,
261,Ice Freezing Cuff,
262,Fire Dragon Cuff,
263,Seven Stars Cuff,
264,Four Void Cuff,
265,Real Valiant Cuff,
266,Triple Lucidity Cuff,
267,Grey Cloth Cuff,
268,Commandment Cuff,
269,Sky Drum Cuff,
270,Wild Vision Cuff,
271,Thunder Sound Cuff,
272,Buddha Vigor Cuff,
273,All Heaven Cuff,
274,Arhat Cuff,
275,Five Principle Cuff,
276,Rosebush Cuff,
277,Redbud Cuff,
278,Cherry Cuff,
279,Orchid Cuff,
280,Lily Cuff,
281,Willow Cuff,
282,Daphne Cuff,
283,Vanilla Cuff,
284,Lotus Cuff,
285,Green Elf Kneepad,
286,Red Fire Kneepad,
287,Blue Jade Kneepad,
288,Ice Freezing Kneepad,
289,Fire Dragon Kneepad,
290,Seven Stars Kneepad,
291,Four Void Kneepad,
292,Real Valiant Kneepad,
293,Triple Lucidity Kneepad,
294,Grey Cloth Kneepad,
295,Commandment Kneepad,
296,Sky Drum Kneepad,
297,Wild Vision Kneepad,
298,Thunder Sound Kneepad,
299,Buddha Vigor Kneepad,
300,All Heaven Kneepad,
301,Arhat Kneepad,
302,Five Principle Kneepad,
303,Rosebush Kneepad,
304,Redbud Kneepad,
305,Cherry Kneepad,
306,Orchid Kneepad,
307,Lily Kneepad,
308,Willow Kneepad,
309,Daphne Kneepad,
310,Vanilla Kneepad,
311,Lotus Kneepad,
312,Green Elf Belt,
313,Red Fire Belt,
314,Blue Jade Belt,
315,Ice Freezing Belt,
316,Fire Dragon Belt,
317,Seven Stars Belt,
318,Four Void Belt,
319,Real Valiant Belt,
320,Triple Lucidity Belt,
321,Grey Cloth Belt,
322,Commandment Belt,
323,Sky Drum Belt,
324,Wild Vision Belt,
325,Thunder Sound Belt,
326,Buddha Vigor Belt,
327,All Heaven Belt,
328,Arhat Belt,
329,Five Principle Belt,
330,Rosebush Belt,
331,Redbud Belt,
332,Cherry Belt,
333,Orchid Belt,
334,Lily Belt,
335,Willow Belt,
336,Daphne Belt,
337,Vanilla Belt,
338,Lotus Belt,
339,Mushroom Spore,
340,Snake Blood,
341,Snake Man Soul,
342,Key to Sealed Door,
343,Key to Sealed Door,
344,Green Identify Gem,"Green Identify Gem, use it to identify green item, arouse the item's potential ability.  Blacksmith can help you do the identification."
345,Strange Necklace,"Strange Necklace, tempt adult piggy face cat transformed to neuter piggy face cat."
346,Snake Monster Letter,The letter snake monster force ganoderma to leave cloud mountain.
347,Newbie Healing Potion,HP increase 120 at once.
348,Newbie Mana Potion,Mana increase 120 at once.
349,Rabbit Tail,Agile Rabbit Tail
350,Small Mushroom Spore,Delicious mushroom
351,Tao Charm,"Hundreds year ago, I was sealed by Tao Charm.  But a few days ago, Ghost Wind Tao used theurgy to unseal me, indulge me doing things evil in Black Heart Wasteland."
352,Big Mushroom Spore,Delicious mushroom
353,Test - Bandage,"Function: increase 50 HP, lasting 8 seconds."
354,Nectar,
356,Little Panda (Pet),"Pet Little Panda, increase master's HP upper limit.  It will get attribution points for master and can learn extra skills from level 11."
357,Healing Potion (lvl 2),"Function: increase 16 HP every second, lasting 15 seconds, function stopped when being attacked or move."
358,Mana Potion (lvl 2),"Function: increase 24 Mana every second, lasting 15 seconds, function stopped when being attacked or move."
359,Healing Potion (lvl 3),"Function: increase 24 HP every second, lasting 15 seconds, function stopped when being attacked or move."
360,Mana Potion (lvl 3),"Function: increase 36 Mana every second, lasting 15 seconds, function stopped when being attacked or move."
361,Healing Potion (lvl 4),"Function: increase 32 HP every second, lasting 15 seconds, function stopped when being attacked or move."
362,Mana Potion (lvl 4),"Function: increase 48 Mana every second, lasting 15 seconds, function stopped when being attacked or move."
363,Healing Potion (lvl 5),"Function: increase 42 HP every second, lasting 15 seconds, function stopped when being attacked or move."
364,Mana Potion (lvl 5),"Function: increase 60 Mana every second, lasting 15 seconds, function stopped when being attacked or move."
365,Healing Potion (lvl 6),"Function: increase 52 HP every second, lasting 15 seconds, function stopped when being attacked or move."
366,Mana Potion (lvl 6),"Function: increase 78 Mana every second, lasting 15 seconds, function stopped when being attacked or move."
367,Healing Potion (lvl 7),"Function: increase 64 HP every second, lasting 15 seconds, function stopped when being attacked or move."
368,Mana Potion (lvl 7),"Function: increase 96 Mana every second, lasting 15 seconds, function stopped when being attacked or move."
369,Healing Potion (lvl 8),"Function: increase 76 HP every second, lasting 15 seconds, function stopped when being attacked or move."
370,Mana Potion (lvl 8),"Function: increase 114 Mana every second, lasting 15 seconds, function stopped when being attacked or move."
371,Healing Potion (lvl 9),"Function: increase 90 HP every second, lasting 15 seconds, function stopped when being attacked or move."
372,Mana Potion (lvl 9),"Function: increase 136 Mana every second, lasting 15 seconds, function stopped when being attacked or move."
373,Healing Potion (lvl 10),"Function: increase 106 HP every second, lasting 15 seconds, function stopped when being attacked or move."
374,Mana Potion (lvl 10),"Function: increase 160 Mana every second, lasting 15 seconds, function stopped when being attacked or move."
375,Healing Potion (lvl 11),"Function: increase 122 HP every second, lasting 15 seconds, function stopped when being attacked or move."
376,Mana Potion (lvl 11),"Function: increase 184 Mana every second, lasting 15 seconds, function stopped when being attacked or move."
377,Mushroom Venom,
378,Prison Key,
379,Kindling,
380,Newbie Healing Potion,"Function: increase 5 HP every second, lasting 15 seconds, function stopped when being attacked or move."
381,Newbie Mana Potion,"Function: increase 8 Mana every second, lasting 15 seconds, function stopped when being attacked or move."
382,Blue Identify Gem,"Blue Identify Gem, use it to identify blue items, arouse the item's potential ability.  Blacksmith can help you do the identification."
383,Golden Identify Gem,"Golden Identify Gem,  use it to identify golden items, arouse the item's potential ability.  Blacksmith can help you do the identification."
384,[no_use],[no_use]
385,[no_use],
386,[no_use],
387,[no_use],
388,[no_use],
389,[no_use],
390,Fresh Fruit,
391,Eighth Aunt's Keepsake,
392,Condor Claw,
393,Boss Moneybag,
394,Codex,
395,Black Bear Fur,
396,Mountain Wolf Meat,
397,Kaoliang Spirit,
398,Ironstone,
399,Snow Hawk Eye,
400,Snow Leopard Gallbladder,
401,Small Emerald,Use the gem to combine Weapon Talisman or Mount to Plus Rank +1 ~ +3.  Blacksmith can help you do the combination.
402,Medium Emerald,Use the gem to combine Weapon Talisman or Mount to Plus Rank +4 ~ +6.  Blacksmith can help you do the combination.
403,Large Emerald,Use the gem to combine Weapon Talisman or Mount to Plus Rank +7 and above.  Blacksmith can help you do the combination.
404,Small Ruby,Use the gem to combine Defense Gear to Plus Rank +1 ~ +3.  Blacksmith can help you do the combination.
405,Medium Ruby,Use the gem to combine Defense Gear to Plus Rank +4 ~ +6.  Blacksmith can help you do the combination.
406,Large Ruby,Use the gem to combine Defense Gear to Plus Rank +7 and above.  Blacksmith can help you do the combination.
407,Roving Bandit Badge,
408,Cavalry Bandit Badge,
409,Herald Secret Letter,
410,No-eyebrow Secret Letter,
411,Withered Grass,
412,Warrior's Feather,
413,Mane,
414,Wolf Tail,
415,Wild Mule Fur,
416,Forbidden Symbol,
417,Spring Bamboo Shoot,
418,Wild Rabbit Fur,
419,Pangolin Body Fluid,
420,Animal Bell,
421,Trap Part,
422,Peach Blossom Syrup,
423,Animal Loop,
424,Smudgy Peach Bole,
425,Chip of Trap Picture,
426,Black Wind Grass,
427,Monster's Squama,
428,Pet Capture Bell (trial),Use it to capture Blood Eidolon
500,Green Crystal (lvl 1),Material to make magicstone.
501,Green Crystal (lvl 2),Material to make magicstone.
502,Green Crystal (lvl 3),Material to make magicstone.
503,Green Crystal (lvl 4),Material to make magicstone.
504,Green Crystal (lvl 5),Material to make magicstone.
505,Green Crystal (lvl 6),Material to make magicstone.
506,Green Crystal (lvl 7),Material to make magicstone.
507,Green Crystal (lvl 8),Material to make magicstone.
508,Green Crystal (lvl 9),Material to make magicstone.
509,Green Crystal (lvl 10),Material to make magicstone.
510,Blue Crystal (lvl 1),Material to make magicstone.
511,Blue Crystal (lvl 2),Material to make magicstone.
512,Blue Crystal (lvl 3),Material to make magicstone.
513,Blue Crystal (lvl 4),Material to make magicstone.
514,Blue Crystal (lvl 5),Material to make magicstone.
515,Blue Crystal (lvl 6),Material to make magicstone.
516,Blue Crystal (lvl 7),Material to make magicstone.
517,Blue Crystal (lvl 8),Material to make magicstone.
518,Blue Crystal (lvl 9),Material to make magicstone.
519,Blue Crystal (lvl 10),Material to make magicstone.
520,Golden Crystal (lvl 1),Material to make magicstone.
521,Golden Crystal (lvl 2),Material to make magicstone.
522,Golden Crystal (lvl 3),Material to make magicstone.
523,Golden Crystal (lvl 4),Material to make magicstone.
524,Golden Crystal (lvl 5),Material to make magicstone.
525,Golden Crystal (lvl 6),Material to make magicstone.
526,Golden Crystal (lvl 7),Material to make magicstone.
527,Golden Crystal (lvl 8),Material to make magicstone.
528,Golden Crystal (lvl 9),Material to make magicstone.
529,Golden Crystal (lvl 10),Material to make magicstone.
530,Little Onion (Pet),"Pet Little Onion, increase master's HP upper limit, and increase master's HP recovery speed in non-battle state.  It will get attribution points for master and can learn extra skills from level 11."
531,Ganoderma (Pet),"Pet Ganoderma, increase master's Mana recovery speed in non-battle state.  It will get attribution points for master and can learn extra skills from level 11."
532,Little Wild Mule (Pet),"Pet Little Wild Mule, increase master's Mana upper limit.  It will get attribution points for master and can learn extra skills from level 11."
533,Golden Monkey (Pet),"Pet Golden Monkey, increase master's HP recovery speed in non-battle state.  It will get attribution points for master and can learn extra skills from level 11."
550,Blue Field Chain Simitar,
551,Purple Crystal Chain Simitar,
552,Sky Thunder Chain Simitar,
553,Hundred Fights Chain Simitar,
554,Demon Ruin Chain Simitar,
555,Greedy Wolf Chain Simitar,
556,Loyal Toast Chain Simitar,
557,Valiant Song Chain Simitar,
558,Destroy King Chain Simitar,
559,,
560,Blue Steel Dagger,
561,Sky Iron Dagger,
562,Green Rock Dagger,
563,Ice Block Dagger,
564,Cold Blood Dagger,
565,Soul Recall Dagger,
566,Flighty Spirit Dagger,
567,Black Fire Dagger,
568,Dragon Soul Dagger,
569,,
570,Hasty Shoes,
571,Theurgy Bell,
572,Array Flag,
573,Dragon Roc,
574,Blue Field Cuirass,
575,Purple Crystal Cuirass,
576,Sky Thunder Cuirass,
577,Hundred Fights Battle Cuirass,
578,Demon Ruin Battle Cuirass,
579,Greedy Wolf Battle Cuirass,
580,Loyal Toast Elite Cuirass,
581,Valiant Song Elite Cuirass,
582,Destroy King Elite Cuirass,
583,Blue Field Armguard,
584,Purple Crystal Armguard,
585,Sky Thunder Armguard,
586,Hundred Fights Armguard,
587,Demon Ruin Armguard,
588,Greedy Wolf Armguard,
589,Loyal Toast Armguard,
590,Valiant Song Armguard,
591,Destroy King Armguard,
592,Blue Field Boots,
593,Purple Crystal Boots,
594,Sky Thunder Boots,
595,Hundred Fights Boots,
596,Demon Ruin Boots,
597,Greedy Wolf Boots,
598,Loyal Toast Boots,
599,Valiant Song Boots,
600,Destroy King Boots,
601,Blue Field Cuff,
602,Purple Crystal Cuff,
603,Sky Thunder Cuff,
604,Hundred Fights Cuff,
605,Demon Ruin Cuff,
606,Greedy Wolf Cuff,
607,Loyal Toast Cuff,
608,Valiant Song Cuff,
609,Destroy King Cuff,
610,Blue Field Kneepad,
611,Purple Crystal Kneepad,
612,Sky Thunder Kneepad,
613,Hundred Fights Kneepad,
614,Demon Ruin Kneepad,
615,Greedy Wolf Kneepad,
616,Loyal Toast Kneepad,
617,Valiant Song Kneepad,
618,Destroy King Kneepad,
619,Blue Field Belt,
620,Purple Crystal Belt,
621,Sky Thunder Belt,
622,Hundred Fights Belt,
623,Demon Ruin Belt,
624,Greedy Wolf Belt,
625,Loyal Toast Belt,
626,Valiant Song Belt,
627,Destroy King Belt,
628,Quick Wind Bow,
629,Torrential Water Bow,
630,Burning Hot Bow,
631,Thunder Flash Bow,
632,Dark Jade Bow,
633,Blood Diamond Bow,
634,Frost Silver Bow,
635,First Gold Bow,
636,Cold Moon Bow,
637,Sun Bird Bow,
638,Gentle Wind Crossbow,
639,Riding Cloud Crossbow,
640,Blaze Hit Crossbow,
641,Accuracy Hit Crossbow,
642,Thousands Sharp Crossbow,
643,Myriad Shoot Crossbow,
644,Gold Pierce Crossbow,
645,Hell Abyss Crossbow,
646,Nature Mystery Crossbow,
647,Zhu-ge Crossbow,
648,Pet Bell,
649,Jade Vessel,
650,Nature Booklet,
651,Trap Meshwork,
652,Hill Finch Corslet,
653,Green Swift Corslet,
654,Night Hawk Corslet,
655,Silver Gull Battle Corslet,
656,Blue Snipe Battle Corslet,
657,Red Ibis Battle Corslet,
658,Black Falcon Elite Corslet,
659,Grand Swan Elite Corslet,
660,Flying Phoenix Elite Corslet,
661,Hill Finch Armguard,
662,Green Swift Armguard,
663,Night Hawk Armguard,
664,Silver Gull Armguard,
665,Blue Snipe Armguard,
666,Red Ibis Armguard,
667,Black Falcon Armguard,
668,Grand Swan Armguard,
669,Flying Phoenix Armguard,
670,Hill Finch Boots,
671,Green Swift Boots,
672,Night Hawk Boots,
673,Silver Gull Boots,
674,Blue Snipe Boots,
675,Red Ibis Boots,
676,Black Falcon Boots,
677,Grand Swan Boots,
678,Flying Phoenix Boots,
679,Hill Finch Cuff,
680,Green Swift Cuff,
681,Night Hawk Cuff,
682,Silver Gull Cuff,
683,Blue Snipe Cuff,
684,Red Ibis Cuff,
685,Black Falcon Cuff,
686,Grand Swan Cuff,
687,Flying Phoenix Cuff,
688,Hill Finch Kneepad,
689,Green Swift Kneepad,
690,Night Hawk Kneepad,
691,Silver Gull Kneepad,
692,Blue Snipe Kneepad,
693,Red Ibis Kneepad,
694,Black Falcon Kneepad,
695,Grand Swan Kneepad,
696,Flying Phoenix Kneepad,
697,Hill Finch Belt,
698,Green Swift Belt,
699,Night Hawk Belt,
700,Silver Gull Belt,
701,Blue Snipe Belt,
702,Red Ibis Belt,
703,Black Falcon Belt,
704,Grand Swan Belt,
705,Flying Phoenix Belt,
801,Pet Capture Bell,Tool what the Tamer use to catch pet.
802,Viper Blood Serum,
803,Divine Beast Scroll 1,
804,Divine Beast Scroll 2,
805,Divine Beast Scroll 3,
810,Fire Dragon Battle Robe,
811,Fire Dragon Armguard,
812,Fire Dragon Boots,
813,Fire Dragon Cuff,
814,Fire Dragon Kneepad,
815,Fire Dragon Belt,
816,Thunder Sound Battle Frock,
817,Thunder Sound Armguard,
818,Thunder Sound Boots,
819,Thunder Sound Cuff,
820,Thunder Sound Kneepad,
821,Thunder Sound Belt,
822,Lily Battle Dress,
823,Lily Armguard,
824,Lily Boots,
825,Lily Cuff,
826,Lily Kneepad,
827,Lily Belt,
828,Demon Ruin Battle Cuirass,
829,Demon Ruin Armguard,
830,Demon Ruin Boots,
831,Demon Ruin Cuff,
832,Demon Ruin Kneepad,
833,Demon Ruin Belt,
834,Blue Snipe Battle Corslet,
835,Blue Snipe Armguard,
836,Blue Snipe Boots,
837,Blue Snipe Cuff,
838,Blue Snipe Kneepad,
839,Blue Snipe Belt,
840,Seven Stars Battle Robe,
841,Seven Stars Armguard,
842,Seven Stars Boots,
843,Seven Stars Cuff,
844,Seven Stars Kneepad,
