程序导标记，不用翻译,,
STRID,LAN,Remark
channelinfoname_shuo,say /s,
channelinfoname_siliao,whisper /name,
channelinfoname_siliaohuifu,reply whisper,
channelinfoname_xiaodui,team /t,
channelinfoname_xitong,system,
channelinfostring_fasonggei,to %s [%s]: ,
channelinfostring_FindTeam,[call on]%s[%s]: ,
channelinfostring_gonghui,[guild] %s [%s]: ,
channelinfostring_handao,%s [%s] shout: ,
channelinfostring_jiaoyi,[trade] %s [%s]: ,
channelinfostring_MasterParty,[master] %s [%s]: ,
channelinfostring_mengpai,[profession] %s [%s]: ,
channelinfostring_OwnParty,[apprentice] %s [%s]: ,
channelinfostring_qiaoqiaodishuo,%s [%s] whisper: ,
channelinfostring_Rumor,[rumor]: ,
channelinfostring_shijie,[world] %s [%s]: ,
channelinfostring_shuo,%s [%s] say: ,
channelinfostring_shuo2,%s %s say: ,
channelinfostring_xiaodui,[team] %s [%s]: ,
channelpage1,Normal,
channelpage2,World,
channelpage3,Team,
channelpage4,Guild,
channelpage5,CallOn,
compose_ceshihecheng1,testing-compose1,
compose_ceshihecheng2,testing-compose2,
ectype_ciyunsihuanxidian,Black Wind Camp Happiness Hall,
ectype_guihuashanhonghuadong,Laurel Mountain Laurel Wonderland,
ectype_yaorendongfufuben,Vast Mountain Bewitcher Cave,
ectype_yunlingshanshexue,Cloud Mountain Snake Cave,
emIndex,"Wizard's founder Master Long Eyebrow, who has been enlightened at the beginning of Song Dynasty, is the ringleader of every low-level immortals both in just and evil juntas.  The leader Qi Shuming, who is taught by Master Long Eyebrow, has too strong power to identify.  Wizard is the head of righteous juntas.

Standard Point: HP / Mana
Weapons: Flying Sword and Blade",
fmIndex,"The leader is Master with White Eyebrow, who only wants male prentices.  All the prentices have to do a tonsure before they start to cultivate themselves.  There is another monk called Buddhist Monk Tian Meng, whose position is even higher than the Master with White Eyebrow.  But his trace has been lost for a long time.

Standard Point: HP / Stamina Point
Weapons: Buddhist Shovel and Staff",
fuben01_sheshan,Snake Mountain,
fuben01_shexue,Snake Cave,
fuben01_shexuejitan,Snake Cave Altar,
fuben02_cysdilao,Happiness Hall Dungeon,
fuben02_hxddidao,Happiness Hall Subway,
fuben02_hxdkefang,Happiness Hall Visitor Room,
fuben02_hxdneitang,Happiness Hall Cella,
fuben02_hxdzhengdian,Happiness Hall Main Hall,
fuben02_zawufang,Hovel,
fuben03_guchen,Rattan Cave Ancient City,
fuben03_lingshoulin,Rattan Cave Monster Woods,
fuben03_taoyuan,Peach Headstream Village,
help_fabaoxitong,Talisman System,
help_jibencaozuo,Basic Operation,
help_liaotianxitong,Chatting System,
help_paimaixitong,Auction System,
help_renwuxitong,Quest System,
help_shenghuojineng,Living Skill System,
inherence_bingfeidaojiaqiang,Ice Flying Blade Advance,
inherence_bingfeidaojichu,Ice Flying Blade Fundamental,
inherence_huojianjiaqiang,Fire Flying Sword Advance,
inherence_huojianjichu,Fire Flying Sword Fundamental,
inherence_series_bingfeidaoshuoming,Ice Flying Blade - description,
inherence_series_bingfeidaoxi,Ice Flying Blade Series,
inherence_series_huofeijianshuoming,Fire Flying Sword - description,
inherence_series_huofeijianxi,Fire Flying Sword Series,
ip_00a,40 Points Item Box,
ip_00a_se,40 Points Item Box (Blue),
ip_00b,140 Points Item Box,
ip_00b_se,140 Points Item Box (Blue),
ip_aa8,Internal Test Secret Ring Bag,
ip_aa8_desc,"There is an item box in the attachment, use it to get a 'secret ring of internal test'.",
ip_aa9,Treasure Package,
ip_aac,150 Points Package,
ip_aad,300 Points Package,
ip_aae,Gem Limited Package,
ip_aaf,Newbie Package,
ip_back,[no_use],
ip_blueitem,[no_use],
ip_common,Item Box,
ip_common_desc,"There is an item box in the attachment, use it to get an appointed item.",
ip_fcard,MOL Freedom Card,
ip_horse1,Package of Blue Flame Horse,
ip_horse2,Package of Red Flame Horse,
ip_horse3,Package of Moon Bear,
ip_horse4,Package of White Bear,
ip_love,Package of Love Heart,
ip_new,[no_use],
ip_pet,[no_use],
ip_seven,[no_use],
ip_start,[no_use],
item_mod_class1,Aidance,
item_mod_class2,Gem,
item_mod_class3,Medicine,
item_mod_class4,Equipment,
item_mod_class5,Pet,
item_mod_class6,Mount,
new_role_hair_faxing1,Hairstyle 1,
new_role_hair_faxing2,Hairstyle 2,
new_role_hair_faxing3,Hairstyle 3,
new_role_head_lianxing1,Face 1,
new_role_head_lianxing2,Face 2,
new_role_head_lianxing3,Face 3,
npc_1,Little Rabbit,
npc_10,Ganoderma,
npc_100,Counterjumper,
npc_1000,Convoy Quest Sample,
npc_1001,Testing Panda,
npc_1002,Heart Lotus,
npc_1003,Golden Cicada,
npc_1004,Fire Trap,
npc_1005,Freezing Trap,
npc_1006,Drunk Tao,
npc_1007,Song-er,
npc_1008,He-er,
npc_101,Little Rabbit,
npc_102,Rich Man,
npc_103,Lady Shiyuzhu,
npc_104,Qi Lingyun,
npc_105,Zhu Wen,
npc_106,Treasure Box,
npc_107,Firewood,
npc_108,Auctioneer,Sky
npc_109,Blacksmith,
npc_11,Snake Captor,
npc_110,Hell Judger,
npc_111,Zhou Chun,
npc_112,Mustache Lee,
npc_113,Fellow Liao Yi,
npc_114,Aborigine Guard,
npc_115,Coward Aborigine,
npc_116,Aborigine Officer,
npc_117,Boa,
npc_118,Yellow Wolf,
npc_119,Feral Ghost,
npc_12,Snake Head,
npc_120,Bitter Elf,
npc_121,Axe Monk Soldier ,
npc_122,Monk Mao Tai Stand-in,
npc_123,Monk Yu De,
npc_124,Monk Ranger,
npc_125,Brigand ,
npc_126,Brigand Head,
npc_127,Villager,
npc_128,Apothecary,
npc_129,Zhang Yaoqing,
npc_13,Flying Centipede,
npc_130,Zhang Qi,
npc_131,Tao Novice,
npc_132,Junior Zhou Yuncong,
npc_133,Old Golden Macaque,
npc_134,San Zi,
npc_135,Treasure Box,
npc_136,Treasure Box,
npc_137,Treasure Box,
npc_138,Treasure Box,
npc_139,Treasure Box,
npc_14,Fatal Centipede,
npc_140,Treasure Box,
npc_141,Treasure Box,
npc_142,Firewood,
npc_143,White Rabbit,
npc_144,Elite Jungle Boa,
npc_145,Poison Mushroom,
npc_146,Elite Jungle King Boa ,
npc_147,Elite Servant of Snake Head,
npc_148,Elite Snake Captor,
npc_149,Elite Snake Head,
npc_15,Ghost Fire,
npc_150,Elite Ghost Fire,
npc_151,Elite Vampire Ghost,
npc_152,Elite Cacodaemon,
npc_153,Elite Ghost Captain,
npc_154,Elite Golden Horn Boa,
npc_155,Elite Captain of Snake Head,
npc_156,Dicephalous Snake,
npc_157,Ghost Wind Tao,
npc_158,Avatar of Snake Demon ,
npc_159,Soul of Snake Demon,
npc_16,Vampire Ghost,
npc_160,Fresh Mushroom,
npc_161,A-Tong,
npc_162,Rabbit Peddler,
npc_163,Xiao Huan,
npc_164,Little Grey Rabbit,
npc_165,Elite Ghost Captain,
npc_166,Elite Ghost Captain,
npc_167,Elite Ghost Captain,
npc_168,Cortege of Vampire Ghost,
npc_169,Elite Patrol  Captor,
npc_17,Bitter Elf,
npc_170,Elite Patrol Servant,
npc_171,Elite Patrol Captor,
npc_172,Elite Patrol Captor,
npc_173,Sealed Door,
npc_174,Polluted Mushroom,
npc_175,Polluted Spore,
npc_176,Polluted Poison Mushroom,
npc_177,Polluted Mushroom,
npc_178,Soul in Durance,
npc_179,Sealed Door,
npc_18,Cacodaemon,
npc_180,Snake Head Witch,
npc_181,Soul of Snake Demon,
npc_182,Lee Hong,
npc_183,Warehouse Man,
npc_184,Elite Ghost Captain,
npc_185,Machine Monster,
npc_186,Peach Monster,
npc_187,Pet Machine Monster,
npc_188,Peach Spirit,
npc_189,Machine Man,
npc_19,Mountain Demon,
npc_190,Golden Camel,
npc_191,Crocodile,
npc_192,Pangolin,
npc_193,Fire Stone Monster,
npc_194,Immortal Crocodile,
npc_195,Black Stone Demon,
npc_196,Machine Giant,
npc_197,Red Flower Grandma,
npc_198,Nun Fly Dragon,
npc_199,Servant Child,
npc_2,Adult Wolf,
npc_20,Play Boy,
npc_200,Servant Child,
npc_2001,Red Grass,
npc_2002,Wild Mushroom,
npc_2003,Red Rooted Salvia,
npc_2004,Summer Withered Grass,
npc_2005,Red Fruit,
npc_2006,Lichee Grass,
npc_2007,Honewort,
npc_2008,Polygonum ,
npc_2009,Honeysuckle,
npc_201,Wild Rabbit Son,
npc_2010,Grosvenor Momordica,
npc_2011,Cowbane,
npc_2012,Stone Orchid,
npc_2013,Fig,
npc_2014,Durmast,
npc_2015,Thyme,
npc_2016,Orange Ore,
npc_2017,Dolomite Ore,
npc_2018,Leucite Ore,
npc_2019,Green Ore,
npc_202,Small Wolf,
npc_2020,Spinel Ore,
npc_2021,Barite Ore,
npc_2022,Magnesium Ore,
npc_2023,Flame Ore,
npc_2024,Aluminum Ore,
npc_2025,Silver Ore,
npc_203,Guard of Wolf King,
npc_204,Elite Wolf King,
npc_205,Baby Piggy Face Cat,
npc_2050,Transport Fay,
npc_2051,Transport Fay,
npc_2052,Transport Fay,
npc_2053,Transport Fay,
npc_2054,Transport Fay,
npc_2055,Transport Fay,
npc_2056,Transport Fay,
npc_2057,Transport Fay,
npc_2058,Transport Fay,
npc_2059,Transport Fay,
npc_206,Little Cockroach,
npc_2060,Transport Fay,
npc_2061,Transport Fay,
npc_2062,Transport Fay,Stone City
npc_2063,Junior PK Arena,
npc_2064,Senior PK Arena,
npc_2065,Arena Admin,
npc_2066,Arena Admin,
npc_207,Female Cockroach,
npc_208,Cockroach Head,
npc_209,A-Huang,
npc_21,Poison Mushroom,
npc_210,Bandit Soldier,
npc_211,Bandit Vice Head,
npc_212,Sad Villager,
npc_213,Master with White Eyebrow,
npc_214,Neuter Piggy Face Cat,
npc_215,Duel Flag,
npc_216,Small Mushroom,
npc_217,Big Mushroom,
npc_218,Little Dicephalous Snake,
npc_219,Little Leopard,
npc_22,Wild Rabbit,
npc_220,Little Black Leopard,
npc_221,Black Leopard,
npc_222,Roving Bandit,
npc_223,Bandit,
npc_224,Horrible Demon Ghost,
npc_225,Hunter,
npc_226,Apparition,
npc_227,Jackal wolf,
npc_228,Flying Snake,
npc_229,Lily,
npc_23,Blackshirt Bandit,
npc_230,Little Green Snake,
npc_231,Master Jade,
npc_232,Anchorite,
npc_233,Counterjumper ,
npc_234,Snake King Guard,
npc_235,Aberrance Bamboo Snake,
npc_236,Snakeman Guard,
npc_237,Snake Bandit General,
npc_238,Centipede Guard,
npc_239,Ghost Tao Guard,
npc_24,Immortal Centipede,
npc_240,Little Panda,
npc_241,Strange Pilgrim,
npc_242,Phony Muscle-man Wei ,
npc_243,Tracing Killer,
npc_244,Hiding Bandit,
npc_245,Blade Monk Soldier ,
npc_246,Guard of Wei's Village,
npc_247,Guard of Muscle-man Wei,
npc_248,Loong Fei's Guard,
npc_249,Cortege Cat Burglar,
npc_25,Ghost Wind Tao Split Body,
npc_250,Tracing Bandit,
npc_251,Golden Silkworm Guard,
npc_252,Burma Poison Fly,
npc_253,Locked Up Examinee,
npc_254,Qiu Lin,
npc_255,Prentice of Monk Mao Tai,
npc_26,Wild Wolf,
npc_260,Monk Mao Tai,
npc_261,Loong Fei,
npc_262,Green Robe Master,
npc_263,Fa-Yuan,
npc_264,Buddhist Monk Purple Moon,
npc_265,Poison Golden Silkworm,
npc_266,Zaton,
npc_267,Elite Bandit,
npc_268,Elite Mace Fatso,
npc_269,Elite Blackshirt Bandit,
npc_27,Lecher,
npc_270,Elite Play Boy,
npc_271,Elite Lecher,
npc_272,Elite Callet ,
npc_273,Elite Black Leopard,
npc_274,Elite Fatal Centipede ,
npc_275,Jackal Wolf,
npc_276,Elite Monk Ranger,
npc_277,Elite Axe Monk Soldier ,
npc_278,Elite Axe Monk Soldier ,
npc_279,Elite Axe Monk Soldier ,
npc_28,Mobster,
npc_280,Callet Head Young,
npc_281,Zaton,
npc_282,Zaton,
npc_283,Zaton,
npc_284,Loong Fei,
npc_285,Jackal Wolf,
npc_286,Jackal Wolf,
npc_287,Blacksmith,
npc_288,Apothecary,
npc_289,Warehouse Man,
npc_29,Millenary Snake Demon,
npc_290,Auctioneer,
npc_2901,Sealed Tower,
npc_2902,Crystal Tower,
npc_2903,Command Flag,
npc_2904,War Admin,
npc_2905,Palace Gate,
npc_291,Fresh Wild Fruit,
npc_2910,Blood Palace Guard,
npc_2911,Glacier Silver Fox,
npc_2912,Bloody Palace Servant,
npc_2913,Blood Palace General,
npc_2914,Blood Palace Herald,
npc_292,Western Enchanter,
npc_293,Western Gundog,
npc_294,Western Evil Monk,
npc_295,Rotten-Eat Crocodile,
npc_296,Red Head Vulture,
npc_297,Bald Vulture Head,
npc_298,Bald Vulture Guard,
npc_299,Bine Monster,
npc_3,Adult Piggy Face Cat,
npc_30,Mace Fatso,
npc_300,Black Bear,
npc_3003,Madam Miao Yi,
npc_3004,Lee Yingqiong,
npc_3005,Yuan Xing,
npc_3006,Nun Wind,
npc_3007,Nun Moon,
npc_3008,Male Wizard Prentice,
npc_3009,Female Wizard prentice,
npc_301,Jokul Flying Snake,
npc_3010,Bobtail Monkey,
npc_3012,Meat Ganoderma,
npc_3013,Millenary Meat Ganoderma,
npc_3014,Stalagmite Giant,
npc_302,Demon of West Region,
npc_303,Guard of West Region Demon,
npc_304,Ore Giant,
npc_305,Mountain Wild Wolf,
npc_306,Snow Eagle,
npc_307,Snow Leopard,
npc_308,Ancient Snow Man,
npc_309,Snow Giant,
npc_31,Jin Guangding,
npc_310,Snow Bandit,
npc_3101,Buddhist Novice Shan,
npc_3102,Buddhist Novice Qing,
npc_3103,Buddhist Novice Ming,
npc_3104,Nanmu Guard,
npc_3105,Millenary Nanmu Guard,
npc_3106,Old Nanmu,
npc_3107,Buddha Slave,
npc_3108,White Vulture,
npc_311,Evil Monk Defender,
npc_3110,Little Wild Boar,
npc_3111,Wild Boar,
npc_3112,Little Ape,
npc_3113,Ape,
npc_3114,Little Wild Wolf,
npc_3115,Little Blood Eidolon,
npc_3118,Blood Eidolon,
npc_3119,Big Blood Eidolon,
npc_312,Demon of Sanskrit Sound,
npc_3120,Green Scarp Herb,
npc_3121,Little Wild Boar,
npc_3122,Wild Boar,
npc_3123,Wild Boar King,
npc_3124,Pangolin,
npc_3125,Little Blood Eidolon,
npc_3126,Blood Eidolon,
npc_3127,Senior Blood Eidolon,
npc_3128,Blood Eidolon Captain,
npc_3129,Monk Prentice,
npc_313,Evil Monk Guard,
npc_314,Fantasy Palace Jackal,
npc_315,Corpse,
npc_316,Kaoliang Spirit,
npc_317,Eighth Auntie ,
npc_318,Jokul Hunter,
npc_319,Jokul Doctor,
npc_32,Gangster Zhang,
npc_320,Fur Chapman,
npc_3202,Tao Novice Song,
npc_3203,Tao Novice Yun,
npc_3204,Little Wild Boar,
npc_3205,Wild Boar,
npc_3206,Wild Ape,
npc_3207,Giant Wild Ape,
npc_3208,Stone Man,
npc_3209,Stone Minion,
npc_321,Snow Village Head,
npc_3210,Drunk Grass,
npc_322,Uncle Liu,
npc_323,Chamber of Commerce Boss,
npc_324,Counterjumper ,
npc_325,Blacksmith,Jokul 
npc_326,Apothecary,Jokul 
npc_327,Soul of Eighth Auntie,
npc_328,Xu Yue,
npc_329,Lost Goods,
npc_33,Cortege Xue,
npc_330,Shabby Suitcase,
npc_3301,Zhou Qingyun,
npc_3302,Nun Su Yin,
npc_3304,Wu Wenqi,
npc_3305,Nun Ding Xian,
npc_3306,Nun Ding Hui,
npc_3307,Nun Ding Xu,
npc_3308,Male Fairy Prentice,
npc_3309,Female Fairy Prentice,
npc_331,Rotten Skin Wolf,
npc_3310,Straw Monster,
npc_3311,Golden Lotus,
npc_3312,Thunder Rattan,
npc_3313,Water Eidolon,
npc_3314,Flower Sprite,
npc_3315,Anchoret,
npc_3316,Little Water Eidolon,
npc_3317,Little Straw Monster,
npc_3318,Little Thunder Rattan,
npc_3319,Water Eidolon Major,
npc_332,Red Head Vulture,
npc_3320,Grime Faerie,
npc_3321,Grime Faerie Major,
npc_3322,     ,
npc_3323,Fairy Prentice,
npc_333,Post Officer,
npc_334,Sand Village Head,
npc_335,Villager to Scout,
npc_336,Battle Horse,
npc_337,Planted Agent for Mounted Brigand,
npc_338,Bulletin Board,
npc_339,Roving Bandit Head,
npc_34,The Eight Diagrams Master,
npc_340,War Wolf,
npc_3402,White Parrot,
npc_3403,Lu Xiao,
npc_3404,Lu Wuer,
npc_3405,Tiger Head Man,
npc_3406,Lu Jin,
npc_3407,Niu Er,
npc_3408,Little Aberrance Dog,
npc_3409,Little Wood Man,
npc_341,Mounted Brigand Head,
npc_3410,Little Flying Sprite,
npc_3411,Parrot,
npc_3412,Little Tree Spirit,
npc_3414,Aberrance Wolfman,
npc_3416,Mountain Spirit,
npc_3417,Red Spirit,
npc_3418,Big Spirit,
npc_3419,Immortal Tamer,
npc_342,Herald without Eyebrow,
npc_3420,Darkness Valley Herb,
npc_3421,Battle Horse,
npc_3422,Snow Leopard,
npc_3423,Baby Piggy Face Cat,
npc_3424,Little Grey Rabbit,
npc_343,Celestial Tao,
npc_344,Stele,
npc_345,Tempted Man,
npc_346,Bitter Elf,
npc_347,Friar's Lantern,
npc_348,Undeserved Ghost,
npc_349,Withered Grass Pile,
npc_35,Flame Tao,
npc_350,Timber Wild Wolf,
npc_351,Golden Macaque Head,
npc_352,Jungle Crocodile,
npc_353,Tiger King,
npc_354,Wild Mule King,
npc_355,Aborigine Officer,
npc_356,Forest Tree Man,
npc_357,Ancient City Evil Ghost,
npc_358,Little Onion,
npc_359,Ganoderma,
npc_36,Iron Bell Tao,
npc_360,Little Wild Mule,
npc_361,Golden Monkey,
npc_362,Shang Fengzi,
npc_363,Blacksmith,Crow Forest
npc_364,Xiao San-er,
npc_365,Aborigine Woman,
npc_366,Merchant,Aborigine 
npc_367,Little Tao Zhang,
npc_368,Spring Bamboo Shoot,
npc_369,Zhao Yan-er,
npc_37,Poison Golden Silkworm,
npc_370,Little Pangolin,
npc_371,Blacksmith,
npc_372,Apothecary,
npc_373,Warehouse Man,
npc_374,Auctioneer,
npc_375,Counterjumper,
npc_376,Golden Camel Guard,
npc_377,Polluted Peach Tree,
npc_378,Elite Peach Ghost,
npc_379,Machine Guard,
npc_38,Buddhist Monk Zhi Fei,
npc_380,Red Flower Guard,
npc_381,Immortal Crocodile Guard,
npc_382,Dark Grass,
npc_383,Black Stone Guard,
npc_384,Zhu Wen,
npc_385,Ruo Lan,
npc_386,Strange Machine Man,
npc_387,Peach Headstream Villager,
npc_388,Peach Headstream Village officer,
npc_389,Red Flower Grandma Split Body,
npc_39,Buddhist Monk Purple Moon,
npc_390,Red Flower Grandma,
npc_391,Blacksmith,Camp 
npc_392,Aborigine Hunter,
npc_393,Mushroom Villager,
npc_394,Apothecary,
npc_395,Assistant Apothecary,Laurel Mountain 
npc_396,Present Man,
npc_397,Elite Poison Fly,
npc_398,Elite Aborigine Guard,
npc_399,Elite Boa,
npc_4,Old Cockroach,
npc_40,Wounded Panda,
npc_400,Elite Wild Wolf,
npc_401,Elite Tree Man,
npc_402,Elite Wild Mule,
npc_403,Elite Golden Macaque,
npc_404,Ancient Rattan,
npc_405,Ancient Rattan,
npc_406,Reputation Merchant,
npc_407,Reputation Merchant,
npc_408,Apothecary,Aborigine 
npc_409,Village Officer,
npc_41,White Cloud Master,
npc_410,Blacksmith,
npc_4101,Reputation Merchant,Laurel Mountain 
npc_411,Apothecary,
npc_412,Warehouse Man,
npc_413,Reputation Merchant,
npc_414,Reputation Merchant,
npc_415,Guild Admin,
npc_416,Captured Child,
npc_417,Servant Child,
npc_418,Wizard Prentice,
npc_419,Advanced Wizard Prentice,
npc_42,Master Jade,
npc_420,Wizard Prentice,
npc_4201,Reputation Merchant,Snow Mountian
npc_421,Buddhist Monk Kong Tuo,
npc_422,Monk Prentice,
npc_423,Advanced Monk Prentice ,
npc_424,Monk Prentice,
npc_425,Zhang Yaoqin,
npc_426,Wu Wenqi,
npc_427,Lu Yuqing,
npc_428,Fairy Prentice,
npc_429,Advanced Fairy Prentice,
npc_43,Little Buddhist Nun,
npc_430,Fair Prentice,
npc_4301,Frost Skull,
npc_4302,Phantom Corpse,
npc_4303,Demon Soldier,
npc_4304,Snow Man,
npc_4305,Snow Beast,
npc_4306,Evil Snow Giant,
npc_4307,Hell Snow Giant,
npc_4308,Cruel Snow Beast,
npc_4309,Mace Snow Giant,
npc_431,Angel Treasure Box,
npc_4310,Fire Rock Giant,
npc_4311,Blade Ranger,
npc_4312,Claw Beast,
npc_4313,Masked Heister,
npc_4314,Hollow Masked Heister,
npc_4315,Throat Rift Orc,
npc_4316,Orc Watcher,
npc_4317,Water Monster,
npc_4318,Mire Monster,
npc_4319,Giant Spider,
npc_432,Chartered Merchant,
npc_4320,Giant Bat,
npc_4321,Fantasy Escort,
npc_4322,Fantasy Guard,
npc_4323,Evil Blade,
npc_4324,Ice Banshee,
npc_4325,Virulent Spider,
npc_4326,Fire Boar,
npc_4327,Tomb Stone,
npc_4328,Silver Cicada,
npc_4329,Wain Tao,
npc_433,Immortal Lee,
npc_4330,Muscle-man Wei ,
npc_4331,Le San Guan,
npc_4332,Tao Bai Shui,
npc_4333,Apothecary,
npc_4334,Skull Herald,
npc_4335,Skull Herald,
npc_4336,Treasure Box,
npc_4337,Powerful Fantasy Escort,
npc_4338,Powerful Fantasy Guard,
npc_4339,Powerful Giant Spider,
npc_434,Deluded Enchanter,
npc_4340,Powerful Giant Bat,
npc_4341,Powerful Demon Soldier,
npc_4342,Powerful Fire Rock Giant,
npc_4343,Powerful Cruel Snow Beast,
npc_4344,Powerful Mace Snow Giant,
npc_4345,Evil Blade,
npc_4346,Evil Blade,
npc_4347,Raging Enchanter,
npc_4348,Raging Brutal Monk,
npc_4349,Forge,
npc_435,Iron Face Monk,
npc_4350,Iron Gate,
npc_4351,Prison Gate,
npc_4352,Ice Gate,
npc_4353,  ,
npc_4354,Raging Enchanter,
npc_4355,Raging Brutal Monk,
npc_4356,Cruel Snow Beast,
npc_4357,Cruel Snow Beast,
npc_4358,Cruel Snow Beast,
npc_4359,Cruel Snow Beast,
npc_436,Pink Bee,
npc_4360,Cruel Snow Beast,
npc_4361,Cruel Snow Beast,
npc_4362,Hollow Masked Heister,
npc_4363,Hollow Masked Heister,
