程序导标记，不用翻译,,
STRID,LAN,Remark
MSG_YOUR_GUILDBANK_HAVE_NO_THAT_MONEY,There has no enough money in guild warehouse.,
pop_title1,Kick out the player,
pop_title2,Ban speak for 5 minutes,
pop_title3,Lock account for 7 days,
pop_title4,Delete NPC,
pop_title5,Check the player details,
dteam_destroy_error1,Disbanding group failed.  Some members are still in the Arena.,
dteam_destroy_error2,Disbanding group failed.  The group is still in auto matching process.,
msg_dungeon_pvppair_success,Application submitted successfully.  System is seeking the opponents of similar strength for you.  Please wait...,
msg_dungeonteam_destroy_err1,"Before you disband the group, please wait for a while.",
msg_stall31,Can not set your stall here.  There have some other people's stall nearby already.,
msg_worldevent1a,"Great news!  Special Boss, The King of Pig Face Cat, has been defeated by all the brave heroes in a joint action!",
msg_worldevent2,"Emergency!  Special Boss, The Tyrant of Zombie, suddenly coming out at the Zhao's Palace in Vast Mountain!  Heroes are gathering together to fight against the boss. It seems that a battle between justice and evil is about to start!",
msg_worldevent2a,"Great news!  Special Boss, The Tyrant of Zombie, has been defeated by all the brave heroes in a joint action!",
msg_worldevent3,"Emergency!  Special Boss, The Chief of Fierce Bandit, suddenly coming out at the Loo's Village in Dai's Field!  Heroes are gathering together to fight against the boss. It seems that a battle between justice and evil is about to start!",
msg_worldevent3a,"Great news!  Special Boss, The Chief of Fierce Bandit, has been defeated by all the brave heroes in a joint action!",
dteam_col_score_pve,PVE Score,
dteam_col_score_pvp,PVP Score,
dteam_enter_battle_error,You can not enter Group Arena while in battle mode.,
guildtask_finish_once_perday,This quest can be done only once per day.,
msg_3c_bekilledcount,Be Killed,
msg_3c_killcount,Kill,
msg_3c_otherteam,Enemy Side,
msg_3c_selfteam,Our Side,
msg_dungeon_joinlimit_single,"Every player can attend this type of competition at most %d times everyday.  %s can not attend anymore today, please invite others.",
msg_husong_usetime,Consumed Time:  %02d:%02d:%02d,
MSG_USEITEM_PARTY_ERROR,Item not matched with profession.,
MSG_PK_RED_CANNOT_ENTER,"Can't enter, because you are red name.",
msg_unhealth_accepttask,[no_use],
msg_unhealth_finishtask,[no_use],
MSG_BANK_SETPWD, (Set Password),
msg_password_not_match,Password not matched.,
msg_password_too_long,Password is too long.,
msg_trade_is_locked,The trade has been locked.,
set_bank_password_ok,Set warehouse password succeeded.,
msg_business_need_pvp,Cost %d competition points,
msg_business_no_pvp,"You have no enough competition points, can't buy!",
msg_day_before, %d days ago,
msg_dungeon_no_trade,Can't do training if you choose this type of map.,
msg_hour_before, %d hours ago,
msg_item_count_in_group, %d per group,
MSG_PK_LEVEL_PROTECT,Can't PK if character is under level 20!,
msg_point_shop_buy3,Please input the number of item you want to buy in the blank.,
pop_point_shop_update,Refresh the shop data from server.,
msg_auc_diamond_num,%d T-Points,
gm_name,GM,
item_cannot_bank,This item is in use now or it cannot be put to warehouse.,
item_other_error1,"Because it is not inferior to Golden quality, or its Plus Rank is >= %d, or it is a shop item, the item %s cannot be destroyed.",
item_other_error2,"Because it is not inferior to Golden quality, or its Plus Rank is >= %d, or it is a shop item, the item %s cannot be sold to NPC.",
item_other_error3,"For your property security, you are allowed to delete or destroy item max %d times per day!  You can choose to sell or trade unwanted items.",
msg_anti_img_question,Which sequence number is of '%s' among these characters?,
msg_anti_opt_1st,First,
msg_anti_opt_2st,Second,
msg_anti_opt_3st,Third,
msg_anti_opt_4st,Fourth,
msg_anti_robot8,"Wrong answer, your account has been locked.",
msg_anti_robot9,You have been locked by system.  You must answer questions to be unlocked.,
msg_auto_walk3,"Auto-path will lead to trans-scene, so you need pay %s Gold %s Silver %s Copper, do you agree?",
msg_auto_walk4,"Auto-path will lead to trans-scene, so you need pay %s Gold %s Silver %s Copper, but you have no enough money.",
msg_callfriend_not_in_area,Transport is unavailable to this area.,
msg_chat_you_not_have_friend,You have no friend yet!,
msg_enemy_user_name,Foe name.,
msg_enemy_user_stat,State,
msg_enter_pk_plaza,Please switch your PK mode now by Ctrl + X.,
msg_friend_other_add_you,[%s] has put you to his/her Friend List.,
msg_friend_other_add_you_add_info,[%s] has put you to his/her Friend List.  Would you add him/her also?,
msg_friend_other_del_your,[%s] has removed you from his/her Friend List.,
MSG_ITEM_TYPE_10,Tamer Crossbow,
MSG_ITEM_TYPE_7,Assassin Chain Simitar,
MSG_ITEM_TYPE_8,Assassin Dagger,
MSG_ITEM_TYPE_9,Tamer Bow,
MSG_ITEMFUSE_ERROR9,Quality of target Talisman cannot be inferior to that of the original one.,
msg_killed_info1,"You have participated PK in Arena for %s times, so this time will not be counted.",
msg_mail_can_not_send_money_error,You cannot send money in mail.,
msg_mail_not_sys_mail,Attention: this mail is not an official mail sent by system.,
msg_mail_other_err1,"For your safety, mails with attachment of money or item can only be sent max %d times per day.",
msg_mail_other_err2,"My dear, normal mail can only be sent no more than %d times per day, please try tomorrow!",
msg_maintrump_del_protect,"To protect your valuable items, Weapon Talisman with enhanced level higher than %d cannot be deleted!",
msg_pet_rename_error1,No little pet summoned.  Can not restore the rename chance.,
msg_pet_rename_error2,"The rename chances of your little pet is still 3, so the scroll can not be used.",
msg_petfeed_full,"With full Happy Value, it cannot be fed now.",
msg_school43,New apprenticeship system will open soon!  Now the old system is closed.  The relevant quests shall be hold temporarily and can be done after reopening.,
msg_small_pet_rename_left,Rename left:,
msg_subtrump_del_protect,"To protect your valuable items, Assistant Talisman with enhanced level higher than %d cannot be deleted!",
MSG_Tailsman_Equip,"You are equipped Talisman: %s.  It can provide new skill, please press key ""S"" to arrange shortcuts for use.",
msg_tailsman_update_level,Valid level of Talisman ,
msg_too_many_client,You can just open %d game clients at most.,
msg_trade_money_too_big,"More than 10,000 Gold, impermissible trade!",
pop_banlong,Ban speak for 1 year,
pop_locklong,Lock account permanently,
msg_auc_no_unique,Only permitted to auction.,
msg_auc_only_unique,"To sell T-Points, Start Price must be the same with Buy Now Price.",
MSG_ITEM_USE_CONFIRM,"For your benefits, this item (Mount, Pet or some valuable items) will be bound with your current character after being used, which means it cannot be traded, transmitted or unbound any longer.  (If you plan to sell this item, please DO NOT use it).

Are you sure to use it and make it bound?",
msg_school_err19,You cannot recruit more than %d Apprentices per day.,
msg_school_err20,Only Apprentice without reporting to Master for consecutive %d days can be expulsed.,
msg_school_err21,Apprentice is allowed to quit if Master remains offline for consecutive %d days.,
msg_telpos_error5,Can only be transported to non-scenario area.,
point_comma,", ",
point_excla_mark,! ,
point_full_stop,. ,
point_question_mark,? ,
font_title,title,
game_big5_name1,qibin001_1,
game_big5_name2,qibin001_2,
game_malay_gb_name1,anhei001_1,game_malay_gb_name1
game_malay_gb_name2,anhei001_2,game_malay_gb_name2
game_name1,tandao001_1,
game_name2,tandao001_2,
gender_man,Male,
gender_women,Female,
gm_cmd_error,Command format error.,
gm_cmd_unknown,Unknown Error,
gm_creitem_err,Parameter generate error.,
gm_err_unknown,Unknown Error,
gm_item_not_found,Specified item not found.,
gm_load_data_err,Loading player data error.,
gm_money_invalid,Gold amount invalid.,
gm_op_data_err,Player data operation failed.,
gm_send_mail_fail,Mail sending error.,
gm_sys_admin,System Admin,
gm_user_offline,Player is offline.,
gm_user_online,"Player is online, player has to be offline to process this operation.",
gm_userlev_invalid,Player character level is illegal.,
GUILD_ADD_MEMBER,Please input the name to invite join the guild.,
GUILD_BULL_ERROR1,You don't have the right.,
GUILD_BULL_ERROR2,Too many characters in guild information.,
GUILD_BULLETIN_TLIMIT,You can update guild information once in one minute.,
GUILD_BULLETIN_TODAY,Today Guild Info:,
GUILD_CREATE_ERR1,You have belonged to one guild already.,
GUILD_CREATE_SUCCESS,Guild set up success.,
GUILD_DESTROY_CONFIRM,Are you sure to disband the guild?,
GUILD_DESTROY_ERR1,You do not belong to any guilds.,
GUILD_DESTROY_ERR2,This guild is in disbanding stage.,
GUILD_ERROR_UNKNOWN,Guild set up error.,
GUILD_GUILD_STATE,Guild,
GUILD_I_LEAVE,Quit from guild ,
GUILD_INVITE_ERR1,This player joined other guild already.,
GUILD_INVITE_JOIN,Invite to join the guild,
GUILD_LEADER_CHANGE,New guild leader is now appointed.,
GUILD_LIST_AREA,Area,
GUILD_LIST_LASTONLINE,Online,
GUILD_LIST_LEVEL,Level,
GUILD_LIST_NAME,Name,
GUILD_LIST_OFFICIAL,Position,
GUILD_LIST_PARTY,Profession,
GUILD_LIST_TITLE,Title,
GUILD_MEM_OFFICIAL_CONFIRM,Are you sure to set [%s] position as %s?,
GUILD_MEM_REMOVE_CONFIRM,Are you sure to remove guild member [%s] ?,
GUILD_MEM_SET_TO_LEADER,"Are you sure to promote [%s] as guild leader, to replace your position?",
GUILD_MEMBER_BE_KICKED,%s was kicked from the guild.,
GUILD_MEMBER_COUNT1, Members ,
GUILD_MEMBER_EXIST,This player is in the guild already.,
GUILD_MEMBER_FULL,Guild member reached maximum amount at this level.,
GUILD_MEMBER_INFO,Member Info,
GUILD_MEMBER_LEFT,%s left the guild.,
GUILD_MEMBER_REMOVE,Remove Member,
GUILD_NAME_EXIST,"Guild name has already existed, please input a different name.",
GUILD_NAME_INVALID,Guild name is illegal (no more than 16 characters).,
GUILD_NEED_LEV,You must reach level 30 to set up a guild.,
GUILD_NEED_MONEY,You need have 50 gold to set up a guild.,
GUILD_NEW_BULLETIN,Guild information has been updated.,
GUILD_NEW_MEMBER,%s joined the guild.,
GUILD_OFF_ERR1,"Modify failed, no more than %d Officers.",
GUILD_OFF_ERR2,"Modify failed, no more than 2 Presbyters.",
GUILD_OFF_ERR3,"Modify failed, there only can be one Leader. ",
GUILD_OFFICIAL_CHANGE,Guild position changed: [%s] changed from %s to %s,
GUILD_OFFICIAL_LEADER,Leader,
GUILD_OFFICIAL_MANAGER,Officer,
GUILD_OFFICIAL_MASS,Member,
GUILD_OFFICIAL_NEWBIE,Freshman,
GUILD_OFFICIAL_SENETOR,Presbyter,
GUILD_OFFLINE,Offline,
GUILD_ONLINE,Online,
GUILD_OTHER_INVITE,"%s invite you join the guild: %s, do you agree?",
GUILD_PLAYER_STATE,Players,
GUILD_REPONSE_AGREE,%s agrees you join the guild.,
GUILD_REPONSE_DECLINE,%s reject you join the guild.,
GUILD_SET_LEADER,Change Leader,
GUILD_SETTITLE_TLIMIT,You can only set guild name once in one minute.,
GUILD_TITLE_INVALID,"Guild name should not more than 16 characters, no illegal words.",
GUILD_TO_DESTROY,"Guild leader apply to disband the guild, the guild you belong to will be disbanded in 7 days.",
GUILD_TO_DESTROY_CANCEL,"Guild leader changed idea, guild will not be disbanded.",
GUILD_TO_DESTROY_TIME,Your guild will be dismissed at %d - %02d - %02d  %02d : %02d.,
GUILD_U_BE_KICKED,You were kicked out from the guild.,
GUILD_UI_DESTROY_,Disband Guild,
GUILD_UI_UNDESTROY_,Cancel Disband,
GUILD_UI_UPLOAD_ICON,Upload Guild Symbol,
GUILD_UNDESTROY_CONFIRM,Are you sure not to disband the guild?,
GUILD_URS_DESTROYED,Your guild has been disbanded.,
GUILD_USER_NOT_FOUND,Can't find this character.,
GUILDTERR_APPLY,Apply for Guild Demesne,
GUILDTERR_APPLY_ERROR1,Failed in applying guild demesne.,
GUILDTERR_APPLY_ERROR2,Failed in applying.  Guild should at least have %d members to apply for guild demesne.,
GUILDTERR_APPLY_ERROR3,Failed in applying.  Your guild has guild demesne already.,
GUILDTERR_APPLY_ERROR4,Failed in applying.  Applying for guild demesne need %d gold.,
GUILDTERR_APPLY_ERROR5,Only guild leader can apply for guild demesne.,
GUILDTERR_APPLY_SUCCESS,Success in applying for guild demesne!,
GUILDTERR_BUILD_ALREADY,Building is already under construction.,
GUILDTERR_BUILD_COMPLETE,%s completed.,
GUILDTERR_BUILD_NEED_,Need level %d %s.,
GUILDTERR_BUILD_NEW_CHECKFAIL,Construction conditions are not satisfied.,
GUILDTERR_BUILD_OFFICIAL_FAIL,You don't have enough right.,
GUILDTERR_BUILD_UPDATE,Upgrade to level ,
GUILDTERR_BUILD_UPDATE_CHECKFAIL,Upgrading conditions are not satisfied.,
GUILDTERR_BUILD_UPDATE_RES,Cost of upgrade to level %d ,
GUILDTERR_CONTRIBUTE,Contribution Value,
GUILDTERR_CREATE_SCENE_ERROR,Failed in creating guild demesne scene.,
GUILDTERR_ENTER,Enter Guild Demesne,
GUILDTERR_ENTER_ERROR1,Character must be in the main scene.,
GUILDTERR_HAVE_NO_TERR,Guild has not applied for guild demesne yet.,
GUILDTERR_LEAVE,Leave Guild Demesne,
GUILDTERR_LEAVE_ERROR1,Character must be in the guild demesne scene.,
GUILDTERR_LEAVE_ERROR2,Can't find the default scene.,
GUILDTERR_NAME_LEV,%s  level %d,
GUILDTERR_NEW,New Construction,
GUILDTERR_NEW_BUILD,Build Construction,
GUILDTERR_NO_THIS_GUILD,Can't find appointed guild.,
GUILDTERR_NOWBUILD_CURR,In building...,
GUILDTERR_NOWBUILD_ENDAT,Finish at %02d:%02d ,
GUILDTERR_NOWBUILD_LEFTTIME,Left %02d:%02d:%02d hours,
GUILDTERR_RES_CURR,Current Guild Resources,
GUILDTERR_RES_FAIL,Not enough resources.,
help_reference,Directory,
hint_fuse,Merge Talisman,
hint_normalattack,Normal Attack,
hint_practice,Enhance Talisman,
hint_sit,Sit ,
item_cannot_delete,You can't delete this item.,
item_delete,Are you sure to destroy this item forever?,
item_drop,Are you sure throw away this item?,
item_monster,summoned monster,
ITEM_SUIT,Suit,
item_unlock,Please input warehouse password.,
itemtype_amulet,Amulet,
itemtype_clothing,Armor,
itemtype_cuff,Cuff,
itemtype_glove,Armguard,
itemtype_kneepad,Kneepad,
itemtype_maintrump,Weapon Talisman,
itemtype_ring,Ring,
itemtype_sash,Belt,
itemtype_shoes,Boots,
itemtype_subtrump,Assistant Talisman,
key_setting_prompt,Click button to combine with command ->,
key_setting_successful,Functions setting succeed.,
key_setting_unset1,Not setting yet.,
key_setting_unset2,Functions not setting.,
login_connect_failed,"Connection failed, please try again later.",
login_connect_successful,Connection succeed.,
login_connecting,"Connecting to the server, please wait a moment.",
login_get_rolelist_failed,Failed in loading character list.,
login_geting_rolelist,Loading character list.,
login_name_or_pass_error,User name or password error.,
login_open_soon,"Login server is disconnected, please try later.",
login_server_busy,"Login server is busy now, please try again. ",
login_verify_successful,Verify succeed.,
msg_2ndbag_already_exist,The second lucky bag you hired is still valid.,
msg_2ndbag_fail,"Lucky bag operation failed, please try later.",
msg_2ndbag_success,Lucky bag operation success.,
MSG_ADD_HATE,Increase target enemy value.,
msg_add_money_get, got ,
msg_add_money_lost, lost ,
msg_add_money_user,You,
MSG_ADD_POINTS,Reward %d fighting points.,
MSG_ADDHP,Increase HP %d,
MSG_ADDHPRATE,Increase %d%% HP ,
MSG_ADDMAXHP,Increase maximum HP %d ,
MSG_ADDMAXMP,Increase maximum Mana %d ,
MSG_ADDMP,Increase Mana %d,
MSG_ADDMPRATE,Increase %d%% Mana,
msg_anti_robot1,%d minutes %d seconds,
msg_anti_robot2,"Since your answer is not correct, your character has been locked.  Time to unlock: %d hours %d minutes %d seconds.",
msg_anti_robot3,"Since your answer is correct, you just earned %d gold %d silver %d copper.",
msg_anti_robot4,"Since your answer is correct, you just earned %d silver %d copper.",
msg_anti_robot5,"Since your answer is correct, you just earned %d copper.",
msg_anti_robot6,"Since your answer is correct, you just earned Experience %d points.",
msg_anti_robot7,"Since your answer is correct, you just earned Energy %d points.",
msg_armor,Defense,
MSG_ARMOR_PHY_,+ %d Physical Defense,
MSG_ARMOR_PHY_1,+ %d Physical Defense %s,
msg_att_lev,%d level %03.2f%%,
msg_auc_amulet,Amulet,
msg_auc_ask_cancel,Are you sure to cancel the auction?,
msg_auc_base_over_unique,Start price higher than 'buy now' price.,
msg_auc_bid_failed,Bid failed.,
msg_auc_bid_failed_p_c,"Bid [%s] failed.
Return money: %s.",
msg_auc_bid_failed_p_t,Bid failed: %s.,
msg_auc_bid_success,Bid success.,
msg_auc_bid_success_p_c,"Bid [%s] success.
Cost money: %s.",
msg_auc_bid_success_p_t,Bid succeed: %s.,
msg_auc_cannot_sale,Items are not suppose to trade.,
msg_auc_card_buy_failed_content,"The T-Points code you bid is invalid, bid cancelled, please check.",
msg_auc_card_buy_failed_title,Bid failed.,
msg_auc_card_buy_success_content,"You have purchased %d T-Points, and claimed, please check.",
msg_auc_card_buy_success_title,T-Points code purchase succeed.,
msg_auc_card_cancel,T-Points code auction cancelled.,
msg_auc_card_cancel_content,The T-Points code you auctioned is cancelled.,
msg_auc_card_exists,"This T-Points code can't be claimed, it's in auction.",
msg_auc_card_invalid,T-Points code or password error.,
msg_auc_card_invalid_cancal_content,"The T-Points code you auctioned is invalid, auction cancelled.",
msg_auc_card_invalid_cancel_title,Auction cancelled: invalid T-Points code. ,
msg_auc_card_pw_length_error,T-Points code password length error.,
msg_auc_card_sncode_length_error,T-Points code length error.,
msg_auc_card_sp_null,T-Points code or password can't be blank.,
msg_auc_clothing,Armor,
msg_auc_color_all,All,
msg_auc_color_blue,Blue,
msg_auc_color_golden,Golden,
msg_auc_color_green,Green,
msg_auc_color_white,White,
msg_auc_const_none,none,
msg_auc_cuff,Cuff,
msg_auc_diamond_0,50 T-Points,
msg_auc_diamond_1,150 T-Points,
msg_auc_diamond_2,300 T-Points,
msg_auc_diamond_cancel,Auction cancelled: T-Points,
msg_auc_diamond_cancel_content,The T-Points You auctioned is cancelled.,
msg_auc_diamond_const,T-Points,
msg_auc_diamond_error_not_enough,Auction failed: not enough T-Points.,
msg_auc_diamond_error_server_busy,"Server is busy, please try later.",
msg_auc_direct_save_failed,T-Points code not exist or invalid.,
msg_auc_direct_save_success,"Credit succeed, you have %d T-Points.",
msg_auc_expendable,Expendable,
msg_auc_glove,Armguard,
msg_auc_invalid_item,Illegal items.,
msg_auc_item_bid_level_low,Can't bid!  Your level is lower than the request.,
msg_auc_item_level_low,Can't auction!  Your level is lower than the request.,
msg_auc_item_money_overflow,Can't auction!  Auction price is too high.,
msg_auc_item_money_too_low,Can't auction!  Auction price is too low.,
msg_auc_item_notexist,Item does not exist.,
msg_auc_item_pricehigher,Someone bid a higher price.,
msg_auc_item_too_much,You auctioned too many items.,
msg_auc_kneepad,Kneepad,
msg_auc_lessthan_oneday,Less than one day.,
msg_auc_lifeskill,Material,
msg_auc_long,long,
msg_auc_mail_card_content,"code: %s
password: %s",
msg_auc_mail_card_success,T-Points code auction succeed.,
msg_auc_main_trump,Weapon Talisman,
msg_auc_max_price,Leading,
msg_auc_medic,Medicine,
msg_auc_middle,medium,
msg_auc_money_overflow,Can't auction!  Auction price is higher than the upper limit.,
msg_auc_money_show_bronze_p,%d copper,
msg_auc_money_show_gold_p,"%d gold, %d silver, %d copper",
msg_auc_money_show_sliver_p,"%d silver, %d copper",
msg_auc_money_too_low,Can't auction!  Auction price is lower than the minimum request.,
msg_auc_need_higher_price,You should bid a higher price.,
msg_auc_no_base_price,Start price not setting.,
msg_auc_notenough_handlingcharge,Not enough deposit fees.,
msg_auc_notenough_money,Not enough money.,
msg_auc_notenough_size,You do not have enough space in your item box.,
msg_auc_other,Others,
msg_auc_party_all,All,
msg_auc_party_bh,Fairy,
msg_auc_party_em,Wizard,
msg_auc_party_fm,Monk,
msg_auc_party_qc,Assassin,
msg_auc_party_xq,Tamer,
msg_auc_pet_rider,Pet / Mount,
msg_auc_point_bid_level_low,Can't bid!  Your level is lower than the request to bid T-Points.,
msg_auc_point_level_low,Can't auction!  Your level is lower than the request to auction T-Points.,
msg_auc_point_money_overflow,Can't auction!  Auction price is higher than the upper limit to auction T-Points.,
msg_auc_point_money_too_low,Can't auction!  Auction price is lower than the minimum request to auction T-Points.,
msg_auc_price_isexceed,Your bid price to [%s] was exceeded.,
msg_auc_price_lower,Bid price was exceeded.,
msg_auc_remain_days,Left %d days.,
msg_auc_ring,Ring,
msg_auc_sale_cancel,Auction cancelled.,
msg_auc_sale_cancel_p_t,Auction cancelled: %s,
msg_auc_sale_failed,Auction failed.,
msg_auc_sale_failed_p_t,Auction failed: %s.,
msg_auc_sale_success,Auction succeed.,
msg_auc_sale_success_p_c,"Auction [%s] succeed.
Get money: %s.",
msg_auc_sale_success_p_t,Auction succeed: %s.,
msg_auc_sash,Belt,
msg_auc_self_bid,You are not suppose to bid the item belongs to you.,
msg_auc_shoes,Boots,
msg_auc_short,short,
msg_auc_stone,Gems,
msg_auc_sub_trump,Assistant Talisman,
msg_auc_sys_sender,Auction,
msg_auc_total,"Total auction goods: %d, current page %d ",
msg_auc_type_card,Talisman Point Codes,
msg_auc_unique_ask,Are you sure you want to purchase [%s] with 'buy now' price?,
msg_auc_very_long,very long,
msg_auc_w_bs,Dagger,
msg_auc_w_cz,Shovel,
msg_auc_w_fd,Flying Blade,
msg_auc_w_fj,Flying Sword,
msg_auc_w_fl,Flying Wheel,
msg_auc_w_fz,Pearl,
msg_auc_w_g,Bow,
msg_auc_w_gz,Staff,
msg_auc_w_ld,Chain Simitar,
msg_auc_w_n,Crossbow,
msg_auc_win_item,You won the bid to item [%s].,
msg_auc_work_off,Your item [%s] is sold.,
msg_auction_card_save_hlink,Present,
msg_auction_get_link,Get the auction item,
msg_auction_hint,Please put in the auction item.,
msg_auction_hlink,Auction ,
msg_bag_is_full,Your item box is full.,
MSG_BANK,Warehouse,
msg_basedmg,Basic Damage,
MSG_BASEDMG_ADD,Basic damage increase %.2f points.,
MSG_BATTLESTATE_ERROR,"Operation failed, you are not in battle state.",
MSG_BATTLESTATE_ERROR1,"Operation failed, you are in battle state. ",
msg_block_add_block_hint,Add into Black List,
msg_block_input_user_name,Please input the name you want to block.,
msg_block_title,Black List,
