程序导标记，不用翻译,,
STRID,LAN,Remark
msg_script_4935c3_onhplower_20,I'm afraid that we not their opponents.  Let's retreat and come back later.,
msg_script_4935c5_onhplower_20,Seems we're not his opponents.  We'll suffer a lot this time.,
msg_script_4935c7_onhplower_20,"Although I'll meet death today, I will find someone to accompany me.  Haha!",
msg_script_4935c9_onhplower_20,"Watch out, boy. You can't run any further! You're not a fast runner!",
msg_script_4935d1_onhplower_0,Those who serves Malefic Hong will be immortal.  I won't let you leave here!,
msg_script_4935d3_onhplower_0,I told you to retreat but you didn't.   Now you are dead and I have to accompany you.  The biggest mistake in the world is to follow the wrong brother. ,
msg_script_4935d5_onhplower_0,I'm wrong.  I should've listened to brothers' words to disarm and give in.  Now we have no way to go.,
msg_script_4937_onarrive,I am so lucky to have you accompanied all the way so that I can deal with the bad guys. ,
msg_script_4937_onarrive_13,It seems that they had plots long ago.  We have been fooled!,
msg_script_4937_onarrive_18,We are trapped.  Take care!,
msg_script_4937_onarrive_24,Fight to the death! ,
msg_script_4937_onarrive_6,Ambush!  Watch out!,
msg_script_4937_onarrive_9,"A bunch of nasty fellow, I'll kill you all, watch out!",
msg_script_4937_ondead,"Don't lose your heart, I'm sure you will help me out of here next time.  Keep up your efforts!",
msg_script_4937_onhplower_0,"I am too tired to walk further.  Thanks for your efforts.  Please make sure to help me out of here next time, thank you.",
msg_script_4937_onhplower_20,I can't see the road ahead clearly for excessive loss of blood.  They are so tough to combat!,
msg_script_4937_onhplower_40,"My wound is bleeding ceaselessly, so I'm afraid I can't stand any longer. ",
msg_script_4937_onhplower_60,"Oops, I'm hurt.  Come to protect me right away!",
msg_script_4937_onhplower_80,"We are plotted.  Take care, everyone!",
msg_script_4937_ontaskaccept,", this place is scattered with perils.  We can't be too careful and alert. ",
msg_script_4945_onactive,It's so wonderful that someone has come to rescue us at last!,
msg_script_4970d1_onhplower_0,"Dash, how could this be!  I have practiced hard over the past decade only to be defeated by such a boy?",
msg_script_4970d3_onhplower_0,"Old man, this isn't simply the end.  I'll come back to settle with you after ten years!",
msg_script_4970d5_onhplower_0,"Oh, complete defeat.  Is it real?  Could it be real?",
msg_script_4977d1_onhplower_0,Nope!  How can you stupid farmers know the secrets of magic?  Impossible!  It can't be real.,
msg_script_4977d3_onhplower_0,"My poor brother, now we're even.  We can't laugh at each other because we're all losers.",
msg_script_4977d5_onhplower_0,"Hey, just speak out if you want nice things, do you have to fight like this?",
msg_script_4983d1_onhplower_0,Diamond cuts diamond.  I didn't expect to be defeated by you juniors.,
msg_script_4983d3_onhplower_0,"Although I'll die today, I will make you all accompany me to death.  Haha!",
msg_script_4983d5_onhplower_0,Why I'm the last one left here.  Where are my brothers?,
msg_script_4998d1_onhplower_0,"Throw, throw. How strange!  How come I can't use any strength?",
msg_script_4998d3_onhplower_0,"Oh, I would've stayed in Stone City longer if I knew the result would be this.  World is sophisticated and shrewd.  My plan to dominate Simen Mountain with my strength is broken.",
msg_script_4998d5_onhplower_0,"Counting on your men and power, you outnumbered me in the fight.  This isn't the act of a hero.  Let's fight one on one!",
msg_script_5001d1_onhplower_0,You claim to be a famous and upright faction but jointly attacked me.  I can't accept it.  I just can't.,
msg_script_5001d3_onhplower_0,I finally met such a bad result after decade of exposure to the world.,
msg_script_5001d5_onhplower_0,Evil can never prevail over good.  It's the will of Heaven.  It's the will of Heaven.,
msg_script_5003d1_onhplower_0,"Oh, I don't want to die!  My master won't let me off if I died.",
msg_script_5003d3_onhplower_0,What a pity!  My Soul that I have been practicing for so long!  Is my direction wrong from the very beginning?,
msg_script_5003d5_onhplower_0,Those damned demons dared cheat me!  I will settle with them on this sooner or later.,
msg_script_5026_onarrive,I am so lucky to have you accompanied all the way so that I can deal with the bad guys. ,
msg_script_5026_onarrive_13,It seems that they had plots long ago.  We have been fooled!,
msg_script_5026_onarrive_18,"We are trapped. Take care, brothers!",
msg_script_5026_onarrive_24,Fight to the death! ,
msg_script_5026_onarrive_6,Ambush!  Watch out!,
msg_script_5026_onarrive_9,"A bunch of nasty fellow, I'll kill you all, watch out!",
msg_script_5026_ondead,"Don't lose your heart, I'm sure you will help me out of here next time.  Keep up your efforts!",
msg_script_5026_onhplower_0,"I can't walk anymore.  Thanks for your efforts.  Please make sure to help me out of here next time, will you?",
msg_script_5026_onhplower_20,I can't see the road ahead clearly for excessive loss of blood.  They are so tough to combat!,
msg_script_5026_onhplower_40,"My wound is bleeding ceaselessly, I'm afraid I can't stand any longer. ",
msg_script_5026_onhplower_60,"Oops, I'm hurt.  Come to protect me right away!",
msg_script_5026_onhplower_80,"We are plotted. Take care, everyone!",
msg_script_5026_ontaskaccept,", this place is scattered with perils.  We can't be too careful and alert. ",
msg_script_5031d1_onhplower_0,"Practicing all the skills consumes more than gains.  So shortage prevails over surplus.  When you concentrate your energy on your body, you will feel soothed and powerful.  So the golden rule of martial art is to practice energy.",
msg_script_5031d3_onhplower_0,"Those people with revenge and greed cannot have good accomplishment.  Magic is also a concept of practice, however, it is unforgivable to use magic on evil things.",
msg_script_5031d5_onhplower_0,"Let he be strong and fierce, don't worry if he doesn't come to you.  Just be yourself and you won't be hurt.",
msg_script_5034d1_onhplower_0,To go or not to go?  It's so hard to make the decision.  I can only blame myself for not having the ability to combat demons.,
msg_script_5034d3_onhplower_0,Can I make a bet?  Maybe there are only some small guard monsters.,
msg_script_5034d5_onhplower_0,"Somehow, I met with these mobs. Oh, I only want to live a peaceful life.",
msg_script_5035d1_onhplower_0,All difficulties are temporary.,
msg_script_5035d3_onhplower_0,"Take care of your self, my hero!",
msg_script_5035d5_onhplower_0,Be alert at any time.,
msg_script_newbie_itemlevelup,"Your Talisman has been enhanced to a certain level.  When you get a new advanced Talisman of the same kind later, you can merge it with the old one to start superior enhancing.",
msg_script_PKbous_text,Using the item attached in the mail can add Competition Points.,
msg_script_PKbous_title,Group Competition Rewards,
msg_script_101_onarrive,"I am innocent, don't kill me.",
msg_script_101_onbecaptured,"What are you gonna do to me, let me go.",
msg_script_118_onarrive,"I am innocent, don't kill me.",
msg_script_118_onbecaptured,"Don't touch me, I don't want to go with you.",
msg_script_143_onarrive,"Finally, we are safe now.",
msg_script_143_onarrive_14,Here are some more wolves.,
msg_script_143_onarrive_19,How come so many wolves around.,
msg_script_143_onarrive_23,"Just keep going!  We will be safe soon, we will get into Stone City soon!",
msg_script_143_onarrive_26,I have thought we will be safe in Stone City... I have never consider they will ambush me in the city.,
msg_script_143_onarrive_5,It seems there are some wolves around.,
msg_script_143_ondead,Ah......Let me die!!!,
msg_script_143_onhplower_0,It's the road to destruction!,
msg_script_143_onhplower_20,"Be quick, or we will die.",
msg_script_143_onhplower_40,What are you doing?  My HP is low...,
msg_script_143_onhplower_60,"Someone beat me , come to help me...",
msg_script_143_onhplower_80,"I am so dizzy, even no strength to move...",
msg_script_143_ontaskaccept,", I've been beaten once, don't let it happen twice...",
msg_script_157_onactive,"All my guards, come out,  slaughter the enemies...",
msg_script_158_onactive_1,Who woke me up...,
msg_script_158_onactive_2,", you wanna die?",
msg_script_158_ondead,The door to the cella is open now.,
msg_script_158_ontalk,Go die...,
msg_script_159_fenshen,"It's impossible for you to beat me,  body split...",
msg_script_254_onarrive,"Finally, we are safe now.",
msg_script_254_onarrive_14,"Take care, there seems are something around...",
msg_script_254_onarrive_19,"Oh, how come here are some more!  Fight!",
msg_script_254_onarrive_23,"Ahhhh...this damn people, how dare you knock my head, I have to teach you a lesson!",
msg_script_254_onarrive_26,"So pain, these damn people! ",
msg_script_254_onarrive_5,"Be careful, they will not let us pass so easily.",
msg_script_254_ondead,"It seems you can't protect me by your own, we need find some more person.",
msg_script_254_onhplower_20,"No need to take care of me, you just go...",
msg_script_254_onhplower_40,"I am wounded, please save me...",
msg_script_254_onhplower_60,They are in huge amount...,
msg_script_254_onhplower_80,"That's too bad, we were sneak attacked, come and protect me!",
msg_script_254_ontaskaccept,", if those damn person ambush me again, I will kick their ass.",
msg_script_267_onrunaway,"You wait here, I will find my brothers come and beat you.",
msg_script_3014_onendduel_lost,"Oh, you are good enough to beat those normal monsters.  You can go now.",
msg_script_3014_onendduel_win,"You are not good enough, I can't let you go to face the risks by your own.",
msg_script_3014_onstartduel,Show me your strength.,
msg_script_3104_onendduel_lost,"Oh, you are good enough to beat those normal monsters.  You can go now.",
msg_script_3104_onendduel_win,You are not good enough.  It's dangerous for you to go down the mountain.,
msg_script_3104_onstartduel,Show me your strength.,
msg_script_3209_onendduel_lost,"Oh, you are good enough to beat those normal monsters.  You can go now.",
msg_script_3209_onendduel_win,You are not good enough.  It's dangerous for you to go down of the mountain.,
msg_script_3209_onstartduel,Show me your strength.,
msg_script_323_onactive,They are coming! They are in such huge amount... let's fight!!,
msg_script_3314_onendduel_lost,"Oh, you are good enough to beat those normal monsters. You can go now.",
msg_script_3314_onendduel_win,You are not good enough.  It's dangerous for you to go down of the mountain.,
msg_script_3314_onstartduel,Show me your strength.,
msg_script_436_onarrive,"That's great, finally we get back to the village!  Thank you very much!",
msg_script_436_onarrive_11,Aya....the wolf bite me almost...,
msg_script_436_onarrive_17,How come these wolves stick on us!,
msg_script_436_onarrive_23,"These damn people are making troubles in the village, I gonna find someone teach them a lesson.",
msg_script_436_onarrive_4,Ahh!  Wolf... ,
msg_script_436_onarrive_7,"You damn wolves, I will kill you all.",
msg_script_436_ondead,"Hey bro, have you tried your best to protect me?",
msg_script_436_onhplower_0,Why don't you protect me well!  Why?,
msg_script_436_onhplower_20,I am so wounded.,
msg_script_436_onhplower_40,"My hands have no feelings, I guess that's because I lost too much blood.",
msg_script_436_onhplower_60,"Oh, damn! I was bite by the wolf.",
msg_script_436_onhplower_80,"I am almost die, I can't recognize any people of you.",
msg_script_436_ontaskaccept,", it's all depend on you in the whole trip.",
msg_script_4417_onarrive,Finally some one can protect me back to Brown Bear Village. ,
msg_script_4417_ondead,"I can't get back to my village, although it's very close to here. ",
msg_script_4417_onhplower_0,"I am attacked.  Help, help!",
msg_script_4417_onhplower_20,"My head was knocked, I am so dizzy...",
msg_script_4417_onhplower_40,"I am so wounded, I am afraid I can't stand for so long...",
msg_script_4417_onhplower_60,"I am blooding, I am afraid I can't walk any more. ",
msg_script_4417_onhplower_80,"Leave me here, you just run away.",
msg_script_4417_ontaskaccept,", it's all depend on you on the whole trip!",
msg_script_4504_onarrive,"Great, finally we get back to the village.  Thank you very much.",
msg_script_4504_onarrive_11,"Ah, I am almost hurt!",
msg_script_4504_onarrive_17,It seems that we are besieged by the Man-eater Tribe.,
msg_script_4504_onarrive_23,"Fight, either they or I must go to death today!",
msg_script_4504_onarrive_4,Oh! The Man-eater Tribe found our whereabouts finally!,
msg_script_4504_onarrive_7,"These tough guys, let me defeat you!",
msg_script_4504_ondead,"Have you ever tried your best in protecting me, dude?",
msg_script_4504_onhplower_0,Why didn't you protect me well?  Why?,
msg_script_4504_onhplower_20,I am wounded badly.,
msg_script_4504_onhplower_40,"I can't feel my hands, I think that's because I lost too much blood.",
msg_script_4504_onhplower_60,"Oh, I was bite by the wolf.",
msg_script_4504_onhplower_80,"I am almost die, I can't see things clearly now.",
msg_script_4504_ontaskaccept,", it all depends on you whether I can escape from Bewitcher Cave!",
msg_script_4584_onendduel_lost,Spare my life please!  I will never dare do it!,
msg_script_4584_onendduel_win,It's so funny to duel with me with your such little strength!  Go back to practice more...,
msg_script_4584_onstartduel,Show me your strength.,
msg_script_4591_onendduel_lost,Spare my life please!  I will never dare do it!,
msg_script_4591_onendduel_win,It's so funny to duel with me with your such little strength!  Go back to practice more...,
msg_script_4591_onstartduel,Show me your strength.,
msg_script_4635_onarrive,"Great, get rid of the Picket of Screw Bay at last!  Thank you!",
msg_script_4635_onarrive_11,Oh! I am almost hurt!,
msg_script_4635_onarrive_17,It seems that we are besieged by the Picket of Screw Bay!,
msg_script_4635_onarrive_23,"Fight, either they or I must go to death today!",
msg_script_4635_onarrive_4,Oh!  The Picket of Screw Bay found our whereabouts finally!,
msg_script_4635_onarrive_7,"These tough guys, let me defeat you!",
msg_script_4635_ondead,"Have you ever tried your best in protecting me, dude?",
msg_script_4635_onhplower_0,Why didn't you protect me well?  Why?,
msg_script_4635_onhplower_20,I am wounded badly.,
msg_script_4635_onhplower_40,"I can't feel my hands, I think that's because I lost too much blood.",
msg_script_4635_onhplower_60,These damn Picket of Screw Bay still-hunted us!,
msg_script_4635_onhplower_80,"I am almost die, I can't recognize any people of you.",
msg_script_4635_ontaskaccept,", it all depends on you whether I can escape from the Jail of Screw Bay!",
msg_script_4664_ondead,"Poison Dragon General's strength has reached such a high level that others can not compare since he secretly ate Millennial Ganoderma made in Golden Peak Mountain!!  You can never beat him unless you break the Poison Dragon Vitals located in one side of the cliff.  That Poison Dragon Vitals is his vitals, do remember to break it thoroughly!",
msg_script_4675_onhplower_35,You really exasperated me!!  I must give you some lessons!  Show you my strength!!,
msg_script_51_onarrive,"I am innocent, don't kill me.",
msg_script_51_onbecaptured,"Don't touch me, I don't want to go with you.",
msg_script_98_onarrive,"Finally, we are safe now.",
msg_script_98_onarrive_12,"Oh, how come here are some more!  Be careful!",
msg_script_98_onarrive_17,"Just keep going! We will be safe soon, we will get into Stone City soon!",
msg_script_98_onarrive_23,I have thought we will be safe in Stone City... I have never consider they will ambush me in the city.,
msg_script_98_onarrive_4,"Be careful, they will not let us pass so easily.",
msg_script_98_onarrive_7,"Take care, there seems are something around...",
msg_script_98_ondead,It seems you can't protect me by your own.  I am dead!,
msg_script_98_onhplower_0,It's the road to destruction!,
msg_script_98_onhplower_20,I am wounded badly...  It seems so serious...,
msg_script_98_onhplower_40,What are you doing?  My HP is low...,
msg_script_98_onhplower_60,"That's too bad, we are being attacked.  Please protect me!",
msg_script_98_onhplower_80,"I am so dizzy, I don't even have any strength to move...",
msg_script_98_ontaskaccept,", we have to be very careful, you should protect me!",
msg_script_help_bh,"Congratulations!  You reached level 5, if you pass the test hold by Iron Arms Lee, you can go down of the mountain to adventure.",
msg_script_help_em,"Congratulations!  You reached level 5, if you pass the test hold by Iron Arms Lee, you can go down of the mountain to adventure.",
msg_script_help_fm,"Congratulations!  You reached level 5, if you pass the test hold by Iron Arms Lee, you can go down of the mountain to adventure.",
msg_script_help_jianding,"The green item you get maybe has some special ability, it appeared as gray color, you can use Newbie Identify Gem or Green Identify Gem to arouse it's special ability at Blacksmith place.",
msg_script_help_qc,"Congratulations!  You reached level 5, if you pass the test hold by Iron Arms Lee, you can go down of the mountain to adventure.",
msg_script_help_ronghe,"After you get a new Talisman, you can use it to merge with your original Talisman.",
msg_script_help_sit,"If your HP/Mana is not filled, you can sit or take Healing Water/Mana Pill to recover.",
msg_script_help_xq,"Congratulations!  You reached level 5, if you pass the test hold by Iron Arms Lee, you can go down of the mountain to adventure.",
msg_script_4695_onarrive,"Thank you for your convoy, otherwise I couldn't deal with these evils.",
msg_script_4695_ondead,What a pity!  You failed to convoy me to the protection area of Wizard.,
msg_script_4695_onhplower_0,What a pity!  You failed to convoy me to the protection area of Wizard.,
msg_script_4695_onhplower_20,I am wounded badly.,
msg_script_4695_onhplower_40,I am afraid that I can't stand by for a long time with my cut bleeding. ,
msg_script_4695_onhplower_60,"These people who still-hunted us must have planned beforehand, so we must be very careful.",
msg_script_4695_onhplower_80,I am afraid I can't stand by any longer.  You'd better escape hurriedly without taking care of me.,
msg_script_4695_ontaskaccept,", it depends on you whether I can reach Wizard area.",
msg_script_bonus_text,Awards for the No.%d team in PVE.,
msg_script_bonus_title,Arena Awards,
msg_script_protect_boss,BOSS will appear in this round of attack.  Be careful!,
msg_script_protect_more,There will be enemies to sneak attack at both sides in this round of attack.,
msg_script_protect_spawn,Next round will start in %d s.,
msg_script_smithing_fail1,"Combination failed!  To make up for your loss, you will receive a gift.",
msg_script_4667_ondead,"Poison Dragon Vitals has been broken, please hurry up to go down the mountain and eliminate Poison Dragon General.",
msg_script_4695_onarrive_13,So bad!  My hands were injured. ,
msg_script_4695_onarrive_18,It seems that we have been besieged.,
msg_script_4695_onarrive_24,"Fight, either they or I must go to death today!",
msg_script_4695_onarrive_6,So bad!  These heelers of Evils have found our whereabouts already!,
msg_script_4695_onarrive_9,"Tough guys!  Let me kill you, show you my strength! ",
msg_script_4760,Bright Crystal Killer and Red Bat Killer are pretending to play chess in the kiosk now.  You must exterminate Loosan who is near the lotus pond and me to make them remove their camouflage!,
msg_script_4761,Bright Crystal Killer and Red Bat Killer are pretending to play chess in the kiosk now.  You must exterminate Loosi who is hiding among the iron fences and me to make them remove their camouflage!,
msg_script_4837,"You must also exterminate the Millenary Flame Spider in Magma Area, then Turbo Machine Demon, the guard of the entrance of Spider Chamber, will appear.",
msg_script_4838,"You must also exterminate the Millenary Iron Scorpion in Miasma Area, then Turbo Machine Demon, the guard of the entrance of Spider Chamber, will appear.",
msg_script_killer_gift,%s defeated %s in battle and got an item reward from system.,
msg_script_spawn_boss,Two mystic BOSS already appeared in the battlefield and joining the battle together.,
msg_script_spawn_box,A treasure box has fallen from the sky with mystic creature as its guardians.,
msg_script_spawn_monsternext,"Monsters from a new round have been respawn, their power is %d.",
msg_script_warn_base,Your base camp is under attack now!,
