number,string,,number,string,number,number,number,number,number,number,number,string,cmd,cmd,cmd,cmd,cmd,cmd,number,number;num,number;num,number;num,number;num,number;num,number;num,number;num,number;num,string,number,number,number;num,number;num,,cmd,,cmd,cmd,,,
166,搭救云从,15,35,1,0,3,,1,1,35,99,all,,,,,,,0,0,0,0,0,0,0,0,0,2,98,1,0,99,200,AddMoney(6000);AddNimbus(6000);AddExp(6000),,,,,0,
192,黑谷历史,25,1,0,1,0,,,1,1,99,xq,GetTaskItemSpace >= 1,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,2,AddExp(120);AddNimbus(60);AddMoney(36),,,,,0,
193,采集蘑菇,25,1,0,1,0,,,1,1,99,xq,"CheckTaskFinished(192)
GetTaskItemSpace >= 1",,GetItemSpace >= 1,,,,0,0,0,233,4,160,233,1,4,,0,,0,99,4,AddExp(240);AddNimbus(120);AddMoney(72),"AddItem (347,3)",,,,0,
194,法宝修炼,25,2,0,1,0,,,1,1,99,xq,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,2,AddExp(130);AddNimbus(65);AddMoney(42),,,,,0,
195,特效丹药,25,2,0,1,0,,,1,1,99,xq,"CheckTaskFinished(194)
GetTaskItemSpace >= 1",,,,,,0,0,0,419,5,370,419,1,5,,0,,0,99,5,AddExp(325);AddNimbus(162);AddMoney(105),,,,,0,
196,烦躁的动物,25,3,0,1,0,,,1,2,99,xq,CheckTaskFinished(195),,GetItemSpace >= 1,,,,0,118,8,0,0,0,0,0,0,,0,,0,99,8,AddExp(560);AddNimbus(280);AddMoney(168),"AddItemEx(679,0,1,1)",,,,0,
197,背后的唆使者,25,4,0,1,0,,,1,3,99,xq,CheckTaskFinished(196),,,,,,0,119,10,0,0,0,0,0,0,,0,,0,99,10,AddExp(750);AddNimbus(375);AddMoney(240),,,,,0,
198,忠实的伙伴,25,5,0,1,0,,,1,4,99,xq,"CheckTaskFinished(197)
GetTaskItemSpace >= 1",AddItem(420),GetItemSpace >= 1,,"RemoveItem(420,1)","RemoveItem(420,1)",0,0,0,0,0,0,0,0,0,3,118,1,0,99,2,AddExp(160);AddNimbus(80);AddMoney(48),"AddItemEx(648,0,202,1)
AddItem (801,1)",,,,0,
199,育成村的隐士,25,5,0,1,0,,,1,4,99,xq,"CheckTaskFinished(198)
GetTaskItemSpace >= 1",AddItem(206),,,"RemoveItem(206,1)","RemoveItem(206,1)",0,0,0,206,1,0,0,0,0,,0,,0,99,4,AddExp(320);AddNimbus(160);AddMoney(96),,,,,0,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
201,饥肠辘辘,22,35,0,1,0,,,1,33,99,all,,,,,,,0,0,0,390,15,291,390,1,15,,0,,0,99,15 ,AddExp(3450);AddNimbus(1725);AddMoney(1035),,,,,0,
202,不忘前仇,22,35,0,1,0,,,1,33,99,all,,,,,,,0,292;293,15;15,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(6900);AddNimbus(3450);AddMoney(2070),,,,,0,
203,搜寻尸体,22,35,0,1,0,,,1,33,99,all,CheckTaskFinished(202),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(3450);AddNimbus(1725);AddMoney(1035),,,,,0,
204,报仇血恨,22,35,0,1,0,,,1,33,99,all,CheckTaskFinished(203),,,,,,0,294,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(6900);AddNimbus(3450);AddMoney(2070),,,,,0,
205,投石问路,22,35,0,1,0,,,1,33,99,all,"CheckTaskFinished(204)
GetTaskItemSpace >= 1",AddItem(391),,,"RemoveItem(391,1)","RemoveItem(391,1)",0,0,0,0,0,0,0,0,0,,0,,0,99,10 ,AddExp(2300);AddNimbus(1150);AddMoney(690),,,,,0,
206,取野魔头颅(精英),22,38,1,1,0,,,1,36,99,all,"CheckTaskFinished(204)
GetTaskItemSpace >= 1",,GetItemSpace >= 1,,,,0,302;303,1;15,0,0,0,0,0,0,,0,,0,99,70 ,AddExp(17150);AddNimbus(8575);AddMoney(5250),,,,"em;AddItemEx(79,0,1,1)
fm;AddItemEx(106,0,1,1)
bh;AddItemEx(133,0,1,1)
qc;AddItemEx(577,0,1,1)
xq;AddItemEx(655,0,1,1)",0,
207,传输物资,22,36,0,1,0,,,1,34,99,all,GetTaskItemSpace >= 1,AddItem(390),,,"RemoveItem(390,1)","RemoveItem(390,1)",0,0,0,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(3525);AddNimbus(1762);AddMoney(1080),,,,,0,
208,潜伏的危机,22,36,0,1,0,,,1,34,99,all,,,,,,,0,295,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(7050);AddNimbus(3525);AddMoney(2160),,,,,0,
209,沼泽危机,22,36,0,1,0,,,1,34,99,all,CheckTaskFinished(208),,,,,,0,0,0,392,20,296,392,0.5,20,,0,,0,99,40 ,AddExp(9400);AddNimbus(4700);AddMoney(2880),,,,,0,
210,秃鹫首领(精英),22,36,1,1,0,,,1,34,99,all,CheckTaskFinished(209),,GetItemSpace >= 1,,,,0,297;298,1;15,0,0,0,0,0,0,,0,,0,99,70 ,AddExp(16450);AddNimbus(8225);AddMoney(5040),,,,"em;AddItemEx(315,0,1,1)
fm;AddItemEx(324,0,1,1)
bh;AddItemEx(333,0,1,1)
qc;AddItemEx(622,0,1,1)
xq;AddItemEx(700,0,1,1)",0,
211,十万火急,22,36,0,1,0,,,1,34,99,all,CheckTaskFinished(209),,,,,,0,0,0,393,1,329,393,1,1,,0,,0,99,20 ,AddExp(4700);AddNimbus(2350);AddMoney(1440),,,,,0,
212,大难临头(精英),22,37,1,1,0,,,1,35,99,all,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,70 ,AddExp(16800);AddNimbus(8400);AddMoney(5040),,,,,0,
213,受伤的草药郎中,22,37,0,1,0,,,1,35,99,all,,,,,,,0,299,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(7200);AddNimbus(3600);AddMoney(2160),,,,,0,
214,寻找药典,22,37,0,1,0,,,1,35,99,all,CheckTaskFinished(213),,GetItemSpace >= 1,,,,0,0,0,394,1,330,394,1,1,,0,,0,99,20 ,AddExp(4800);AddNimbus(2400);AddMoney(1440),,"AddItemEx(241,0,52,1)
AddItemEx(241,0,51,1)",,,0,
215,皮毛商贩的请求,22,37,0,1,0,,,1,35,99,all,,,,,,,0,0,0,395,20,300,395,0.5,20,,0,,0,99,40 ,AddExp(9600);AddNimbus(4800);AddMoney(2880),,,,,0,
216,雪山飞蛇,22,37,0,1,0,,,1,35,99,all,,,,,,,0,301,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(7200);AddNimbus(3600);AddMoney(2160),,,,,0,
217,雪山美味,22,38,0,1,0,,,1,36,99,all,CheckTaskFinished(216),,,,,,0,0,0,396,20,305,396,0.5,20,,0,,0,99,40 ,AddExp(9800);AddNimbus(4900);AddMoney(3000),,,,,0,
218,雪山美酒,22,38,0,1,0,,,1,36,99,all,CheckTaskFinished(217),,,,,,0,0,0,397,20,316,397,1,20,,0,,0,99,20 ,AddExp(4900);AddNimbus(2450);AddMoney(1500),,,,,0,
219,资源紧缺,22,38,0,1,0,,,1,36,99,all,,,,,,,0,0,0,398,20,304,398,0.5,20,,0,,0,99,40 ,AddExp(9800);AddNimbus(4900);AddMoney(3000),,,,,0,
220,资源紧缺,22,38,0,1,0,,,1,36,99,all,CheckTaskFinished(219),,,,,,0,0,0,398,20,304,398,0.5,20,,0,,0,99,40 ,AddExp(9800);AddNimbus(4900);AddMoney(3000),,,,,0,
221,雪鹰之眼,22,39,0,1,0,,,1,37,99,all,,,,,,,0,0,0,399,20,306,399,0.5,20,,0,,0,99,40 ,AddExp(10000);AddNimbus(5000);AddMoney(3000),,,,,0,
222,雪豹之胆,22,39,0,1,0,,,1,37,99,all,,,,,,,0,0,0,400,20,307,400,0.5,20,,0,,0,99,40 ,AddExp(10000);AddNimbus(5000);AddMoney(3000),,,,,0,
223,村长的忧愁,22,39,0,1,0,,,1,37,99,all,,,,,,,0,308,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(7500);AddNimbus(3750);AddMoney(2250),,,,,0,
224,村长的忧愁(精英),22,39,1,1,0,,,1,37,99,all,CheckTaskFinished(223),,GetItemSpace >= 1,,,,0,309;308,1;15,0,0,0,0,0,0,,0,,0,99,70 ,AddExp(17500);AddNimbus(8750);AddMoney(5250),,"AddItemEx(251,0,101,1)
AddItemEx(251,0,102,1)",,,0,
225,八姑原神,22,39,0,1,0,,,1,38,99,all,CheckTaskFinished(224),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,10 ,AddExp(2500);AddNimbus(1250);AddMoney(750),,,,,0,
226,打探虚实,22,40,0,1,0,,,1,38,99,all,CheckTaskFinished(225),,,,,,0,310,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(7650);AddNimbus(3825);AddMoney(2340),,,,,0,
227,铲除妖孽,22,40,0,1,0,,,1,38,99,all,CheckTaskFinished(226),,,,,,0,311,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(7650);AddNimbus(3825);AddMoney(2340),,,,,0,
228,智禽妖僧(精英),22,40,1,1,0,,,1,38,99,all,CheckTaskFinished(227),,GetItemSpace >= 1,,,,0,312;313,1;15,0,0,0,0,0,0,,0,,0,99,70 ,AddExp(17850);AddNimbus(8925);AddMoney(5460),,,,"em;AddItemEx(8,0,152,1)
fm;AddItemEx(28,0,152,1)
bh;AddItemEx(58,0,152,1)
qc;AddItemEx(554,0,1,1)
xq;AddItemEx(632,0,1,1)",0,
229,试炼身手,22,40,0,1,0,,,1,38,99,all,CheckTaskFinished(226),,,,,,0,314,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(7650);AddNimbus(3825);AddMoney(2340),,,,,0,
230,八姑信物,22,40,0,1,0,,,1,38,99,all,GetTaskItemSpace >= 1,AddItem(391),,,"RemoveItem(391,1)","RemoveItem(391,1)",0,,,,,,,,,,,,0,99,10 ,AddExp(2550);AddNimbus(1275);AddMoney(780),,,,,0,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,AddExp(0);AddNimbus(0);AddMoney(0),,,,,0,
250,三世神童,26,31,0,1,0,,,1,29,99,all,,,,,,,0,186,32,0,0,0,0,0,0,,0,,0,99,32 ,AddExp(6720);AddNimbus(3360);AddMoney(2016),,,,,0,
251,拜山求医,26,31,0,1,0,,,1,29,99,all,"CheckTaskFinished(250)
GetTaskItemSpace >= 1",AddItem(206),,,"RemoveItem(206,1)","RemoveItem(206,1)",0,0,0,206,1,0,0,0,0,,0,,0,99,10 ,AddExp(2100);AddNimbus(1050);AddMoney(630),,,,,0,
252,桂屋来敌,26,31,0,1,0,,,1,29,99,all,CheckTaskFinished(251),,,,,,0,185,32,0,0,0,0,0,0,,0,,0,99,32 ,AddExp(6720);AddNimbus(3360);AddMoney(2016),,,,,0,
253,机关战甲,26,31,0,1,0,,,1,29,99,all,CheckTaskFinished(252),,,,,,0,0,0,421,18,185,421,0.5,18,,0,,0,99,36 ,AddExp(7560);AddNimbus(3780);AddMoney(2268),,,,,0,
254,碧泉药引,26,32,0,1,0,,,1,30,99,all,CheckTaskFinished(253),,,,,,0,0,0,422,20,188,422,0.5,20,,0,,0,99,40 ,AddExp(8600);AddNimbus(4300);AddMoney(2640),,,,,0,
255,机关人的心病,26,32,0,1,0,,,1,30,99,all,,,,,,,0,0,0,423,20,75,423,0.5,20,,0,,0,99,40 ,AddExp(8600);AddNimbus(4300);AddMoney(2640),,,,,0,
256,大战金驼,26,32,1,1,0,,,1,30,99,all,CheckTaskFinished(255),,GetItemSpace >= 1,,,,0,376;190,2;1,0,0,0,0,0,0,,0,,0,99,25 ,AddExp(5375);AddNimbus(2688);AddMoney(1650),,,,"em;AddItemEx(261,0,1,1)
fm;AddItemEx(270,0,1,1)
bh;AddItemEx(279,0,1,1)
qc;AddItemEx(604,0,1,1)
xq;AddItemEx(682,0,1,1)",0,
257,仙潭之水,26,32,0,1,0,,,1,30,99,all,,,,,,,0,188,36,0,0,0,0,0,0,,0,,0,99,36 ,AddExp(7740);AddNimbus(3870);AddMoney(2376),,,,,0,
258,净化树林,26,33,0,1,0,,,1,31,99,all,CheckTaskFinished(257),,,,,,0,0,0,424,20,377,424,0.5,20,,0,,0,99,40 ,AddExp(8800);AddNimbus(4400);AddMoney(2640),,,,,0,
259,故布疑阵,26,33,0,1,0,,,1,31,99,all,CheckTaskFinished(255),,,,,,0,378,5,0,0,0,0,0,0,,0,,0,99,35 ,AddExp(7700);AddNimbus(3850);AddMoney(2310),,,,,0,
260,机关总图,26,33,0,1,0,,,1,31,99,all,,,,,,,0,0,0,425,20,189,425,0.5,20,,0,,0,99,40 ,AddExp(8800);AddNimbus(4400);AddMoney(2640),,,,,0,
261,机关枢纽,26,34,1,1,0,,,1,32,99,all,CheckTaskFinished(260),,GetItemSpace >= 1,,,,0,189;196,20;1,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(6750);AddNimbus(3375);AddMoney(2070),,,,"em;AddItemEx(88,0,1,1)
fm;AddItemEx(115,0,1,1)
bh;AddItemEx(142,0,1,1)
qc;AddItemEx(586,0,1,1)
xq;AddItemEx(664,0,1,1)",0,
262,修真房之战,26,34,0,1,0,,,1,32,99,all,CheckTaskFinished(261),,,,,,0,379,35,0,0,0,0,0,0,,0,,0,99,35 ,AddExp(7875);AddNimbus(3938);AddMoney(2415),,,,,0,
263,真假姥姥,26,34,1,1,0,,,1,32,99,all,CheckTaskFinished(262),,,,,,0,197;380,1;2,0,0,0,0,0,0,,0,,0,99,20 ,AddExp(4500);AddNimbus(2250);AddMoney(1380),,,,,0,
264,仙潭之路,26,34,0,1,0,,,1,32,99,all,,,,,,,0,191,32,0,0,0,0,0,0,,0,,0,99,32 ,AddExp(7200);AddNimbus(3600);AddMoney(2208),,,,,0,
265,福仙潭,26,34,0,1,0,,,1,32,99,all,CheckTaskFinished(264),,,,,,0,192,34,0,0,0,0,0,0,,0,,0,99,34 ,AddExp(7650);AddNimbus(3825);AddMoney(2346),,,,,0,
266,守潭怪兽,26,34,1,1,0,,,1,32,99,all,,,GetItemSpace >= 1,,,,0,381;194,5;1,0,0,0,0,0,0,,0,,0,99,25 ,AddExp(5625);AddNimbus(2813);AddMoney(1725),,,,"em;AddItemEx(288,0,1,1)
fm;AddItemEx(297,0,1,1)
bh;AddItemEx(306,0,1,1)
qc;AddItemEx(613,0,1,1)
xq;AddItemEx(691,0,1,1)",0,
267,乌风草,26,35,0,1,0,,,1,32,99,all,,,,,,,0,0,0,426,25,382,426,1,25,,0,,0,99,25 ,AddExp(5750);AddNimbus(2875);AddMoney(1725),,,,,0,
